coordenadas,id_trayectoria
"(-79.885184,-2.145275)",209
"(-79.843817,-2.072974)",219
"(-79.883914,-2.131322)",143
"(-79.834189,-2.070784)",123
"(-79.885687,-2.146229)",179
"(-79.884354,-2.143694)",144
"(-79.872912,-2.105359)",134
"(-79.895742,-2.132132)",163
"(-79.874072,-2.097707)",182
"(-79.895677,-2.132152)",164
"(-79.873539,-2.102401)",173
"(-79.881805,-2.137522)",451
"(-79.896201,-2.19748)",341
"(-79.873774,-2.101639)",180
"(-79.89509,-2.166875)",145
"(-79.887125,-2.155874)",214
"(-79.83306,-2.067959)",143
"(-79.883077,-2.11646)",451
"(-79.866294,-2.120792)",133
"(-79.840104,-2.072274)",177
"(-79.881921,-2.138589)",452
"(-79.885044,-2.145044)",135
"(-79.886529,-2.148934)",129
"(-79.833344,-2.068056)",196
"(-79.873642,-2.08393)",134
"(-79.833675,-2.068714)",220
"(-79.884965,-2.12867)",393
"(-79.909368,-2.178448)",351
"(-79.871297,-2.125154)",218
"(-79.882214,-2.139489)",215
"(-79.871905,-2.109535)",150
"(-79.897614,-2.15722)",447
"(-79.873827,-2.095514)",191
"(-79.883712,-2.115199)",442
"(-79.886559,-2.150155)",153
"(-79.886199,-2.129702)",202
"(-80.3185,-2.373447)",394
"(-79.871297,-2.125154)",192
"(-79.8984542,-2.1772747)",336
"(-79.83292,-2.06805)",454
"(-79.86471,-2.074244)",440
"(-79.895494,-2.163484)",138
"(-79.886865,-2.155469)",166
"(-79.895787,-2.16386)",224
"(-79.89439,-2.131165)",145
"(-79.87183,-2.10958)",161
"(-79.871227,-2.073312)",432
"(-79.873627,-2.084614)",159
"(-79.894622,-2.167922)",191
"(-79.873572,-2.087254)",26
"(-79.881937,-2.137432)",138
"(-79.862897,-2.074551)",59
"(-79.840825,-2.07227)",174
"(-79.908332,-2.238849)",374
"(-79.881975,-2.126737)",144
"(-79.868995,-2.115925)",132
"(-79.873829,-2.07414)",208
"(-79.873144,-2.073035)",451
"(-79.895359,-2.163594)",385
"(-79.894219,-2.131159)",156
"(-79.833875,-2.070219)",121
"(-79.915312,-2.196752)",340
"(-79.883387,-2.141904)",206
"(-79.94875,-2.8498484)",21
"(-79.857519,-2.075079)",153
"(-79.872989,-2.104849)",152
"(-79.895767,-2.163784)",126
"(-79.87375,-2.081027)",126
"(-79.89535,-2.186886)",351
"(-79.868384,-2.123505)",131
"(-79.883664,-2.127744)",22
"(-79.832104,-2.068362)",328
"(-79.917869,-2.219406)",361
"(-79.879164,-2.126374)",227
"(-79.89914,-2.23891)",374
"(-79.888585,-2.131724)",192
"(-79.836902,-2.072752)",191
"(-79.892175,-2.16513)",451
"(-79.889272,-2.131814)",144
"(-79.866787,-2.11988)",212
"(-79.873544,-2.072969)",122
"(-79.895377,-2.164594)",183
"(-79.90151,-2.183102)",351
"(-79.895782,-2.16387)",180
"(-79.888552,-2.131717)",44
"(-79.882234,-2.133342)",195
"(-79.895117,-2.132397)",160
"(-79.88956,-2.131969)",141
"(-79.869919,-2.114217)",204
"(-79.833159,-2.068034)",58
