"","x"
"1","{(-79.88399,-2.128017),(-79.89509,-2.166875)}"
"2","{(-79.834341,-2.071245),(-79.867134,-2.11926)}"
"3","{(-79.876919,-2.126065),(-79.895086,-2.166787)}"
"4","{(-79.872775,-2.12553),(-79.873597,-2.088527)}"
