coordenadas,id_trayectoria
"(-79.88356,-2.14212)",319
"(-79.867359,-2.122882)",152
"(-79.867677,-2.123085)",127
"(-79.855599,-2.074837)",168
"(-79.873797,-2.073887)",225
"(-79.832809,-2.068402)",189
"(-79.895647,-2.163774)",207
"(-79.886415,-2.151195)",148
"(-79.901387,-2.221363)",360
"(-79.886262,-2.154309)",452
"(-79.882214,-2.139489)",184
"(-79.873945,-2.094856)",168
"(-79.833677,-2.068487)",213
"(-79.850287,-2.07441)",179
"(-79.873655,-2.083449)",174
"(-79.895787,-2.16386)",172
"(-79.882684,-2.124144)",442
"(-79.885644,-2.12882)",211
"(-79.895491,-2.163472)",150
"(-79.895159,-2.16789)",224
"(-79.839267,-2.072361)",177
"(-79.873829,-2.095449)",188
"(-79.886045,-2.12954)",213
"(-79.862535,-2.074657)",176
"(-79.832582,-2.069162)",322
"(-79.874059,-2.097182)",192
"(-79.867207,-2.12273)",227
"(-79.873214,-2.104012)",162
"(-79.873365,-2.10338)",123
"(-79.833674,-2.069487)",126
"(-79.844057,-2.073124)",130
"(-79.873924,-2.095245)",121
"(-79.881942,-2.126742)",227
"(-79.858579,-2.075814)",200
"(-79.895024,-2.166149)",384
"(-79.873772,-2.079901)",318
"(-79.84067,-2.072307)",65
"(-79.861119,-2.07519)",224
"(-79.947569,-2.15478)",375
"(-79.89258,-2.132032)",171
"(-79.884344,-2.143689)",129
"(-79.887445,-2.130804)",221
"(-79.895244,-2.153997)",448
"(-79.897394,-2.159175)",34
"(-79.876525,-2.12602)",133
"(-79.867399,-2.073899)",168
"(-79.882767,-2.133074)",141
"(-79.891305,-2.163155)",180
"(-79.870882,-2.073392)",176
"(-79.86621,-2.122225)",180
"(-79.882057,-2.138934)",159
"(-79.872924,-2.105232)",26
"(-79.877747,-2.126174)",126
"(-79.873684,-2.078156)",63
"(-79.886449,-2.150994)",207
"(-79.869587,-2.124207)",149
"(-79.885217,-2.128805)",126
"(-79.866044,-2.122117)",160
"(-79.868282,-2.117135)",206
"(-79.842837,-2.072532)",211
"(-79.869919,-2.114324)",125
"(-79.872169,-2.108266)",152
"(-79.873825,-2.092326)",171
"(-79.873627,-2.084614)",165
"(-79.875754,-2.125921)",177
"(-79.873799,-2.07754)",451
"(-79.88489,-2.129169)",196
"(-79.868469,-2.11669)",146
"(-79.874995,-2.125815)",202
"(-79.895709,-2.163769)",194
"(-79.844766,-2.073449)",198
