"","x"
"1","{(-79.867977,-2.11768),(-79.879742,-2.126449)}"
"2","{(-79.838424,-2.072492),(-79.893267,-2.167735)}"
"3","{(-79.88432,-2.128287),(-79.89222,-2.165904)}"
"4","{(-79.855034,-2.075132),(-79.88454,-2.12845)}"
