coordenadas,id_trayectoria
"(-79.892184,-2.165899)",451
"(-79.885874,-2.147114)",62
"(-79.880729,-2.126584)",226
"(-79.856625,-2.074642)",146
"(-79.850795,-2.074675)",129
"(-79.89517,-2.132479)",190
"(-79.893567,-2.132187)",189
"(-79.873955,-2.097477)",181
"(-79.843817,-2.072974)",197
"(-79.873709,-2.081956)",328
"(-79.846104,-2.073874)",177
"(-79.895094,-2.167002)",176
"(-79.871709,-2.110374)",328
"(-79.881985,-2.134649)",441
"(-79.88565,-2.128797)",185
"(-79.868384,-2.123505)",169
"(-79.8914,-2.133034)",187
"(-79.870459,-2.124719)",164
"(-79.889809,-2.04902)",391
"(-79.873794,-2.078927)",195
"(-79.917562,-2.219698)",361
"(-79.851549,-2.075359)",437
"(-79.845705,-2.073834)",204
"(-79.895677,-2.132152)",139
"(-79.892442,-2.134881)",394
"(-79.895709,-2.163769)",157
"(-79.894475,-2.13188)",124
"(-79.894965,-2.167917)",136
"(-79.852205,-2.075682)",66
"(-79.873924,-2.095539)",129
"(-79.873802,-2.092014)",211
"(-79.883455,-2.127569)",188
"(-79.873627,-2.084614)",225
"(-79.883387,-2.141904)",185
"(-80.354587,-2.383294)",393
"(-79.884985,-2.128729)",146
"(-79.850287,-2.07441)",218
"(-79.89813,-2.162395)",367
"(-79.869082,-2.115762)",122
"(-79.870111,-2.113872)",187
"(-79.873652,-2.083615)",158
"(-79.873874,-2.095807)",184
"(-79.873774,-2.101639)",226
"(-79.890407,-2.16159)",198
"(-79.89636,-2.181945)",332
"(-79.88435,-2.143702)",167
"(-79.867135,-2.119147)",203
"(-79.860792,-2.075319)",210
"(-79.884499,-2.128419)",223
"(-79.871474,-2.111834)",64
"(-79.895164,-2.167535)",170
"(-79.871252,-2.111542)",153
"(-79.866941,-2.119492)",226
"(-79.894992,-2.165892)",186
"(-79.8881,-2.157629)",193
"(-79.886449,-2.150994)",153
"(-79.872002,-2.10889)",158
"(-79.86859,-2.073725)",195
"(-79.873802,-2.092014)",179
"(-79.867329,-2.118517)",62
"(-79.883074,-2.117212)",441
"(-79.895415,-2.132326)",204
"(-79.883607,-2.127697)",131
"(-79.8848,-2.12862)",146
"(-79.869304,-2.115386)",194
"(-79.833652,-2.067647)",123
"(-79.882157,-2.126995)",61
"(-79.882734,-2.140629)",329
"(-79.896809,-2.168107)",383
"(-79.842062,-2.072182)",178
"(-79.870642,-2.124767)",319
"(-79.866997,-2.073959)",192
"(-79.842019,-2.072127)",453
"(-79.886024,-2.129087)",125
"(-79.893912,-2.131994)",146
"(-79.842315,-2.072394)",453
"(-79.886549,-2.150407)",67
"(-80.136667,-2.250557)",394
"(-79.888757,-2.158707)",139
"(-79.866026,-2.122195)",210
"(-79.88287,-2.140949)",213
"(-79.873685,-2.082905)",140
"(-79.894372,-2.191535)",341
"(-79.83732,-2.072732)",136
"(-79.882532,-2.126892)",221
"(-79.923846,-2.19931)",371
"(-79.868131,-2.117399)",128
"(-79.884335,-2.113506)",319
"(-79.894154,-2.131257)",147
"(-79.887339,-2.156287)",154
"(-79.883704,-2.130582)",121
"(-79.873674,-2.089895)",204
"(-79.84291,-2.072552)",226
"(-79.896507,-2.181992)",332
"(-79.832402,-2.068402)",184
"(-79.869085,-2.1154)",34
"(-79.873939,-2.096447)",154
"(-79.894125,-2.131484)",213
"(-79.882194,-2.133985)",180
"(-79.834427,-2.071494)",206
"(-79.860792,-2.075319)",180
"(-79.894966,-2.181746)",351
"(-79.843596,-2.072852)",170
"(-79.89579,-2.163852)",197
"(-79.895089,-2.166844)",133
"(-79.838135,-2.072545)",198
"(-79.871477,-2.110974)",408
"(-79.833344,-2.068056)",139
"(-80.091512,-2.223265)",393
"(-79.924402,-2.164062)",351
"(-79.84293,-2.072562)",219
"(-79.873872,-2.125662)",223
"(-79.89516,-2.165004)",193
"(-79.894527,-2.130595)",227
"(-79.883677,-2.13321)",126
"(-79.832015,-2.068374)",147
"(-79.874082,-2.098567)",153
"(-79.891857,-2.164127)",37
"(-79.8682,-2.123322)",170
"(-79.873787,-2.07925)",58
"(-79.858579,-2.075814)",156
"(-79.883749,-2.13299)",160
"(-79.886024,-2.129087)",133
"(-79.886102,-2.147217)",452
"(-79.850467,-2.074472)",206
"(-79.872409,-2.125485)",138
"(-79.837569,-2.072666)",210
"(-79.885044,-2.145044)",183
"(-79.865887,-2.121479)",210
"(-79.886542,-2.149132)",188
"(-79.895695,-2.132154)",187
"(-79.871032,-2.073372)",200
"(-79.891236,-2.162955)",318
"(-79.883822,-2.132182)",170
"(-79.873595,-2.0861)",185
"(-79.87008,-2.113989)",58
"(-79.890052,-2.048902)",392
"(-79.854084,-2.075637)",141
"(-80.082722,-2.217479)",394
"(-79.873924,-2.096224)",148
"(-79.85627,-2.074531)",124
"(-79.832894,-2.068197)",219
"(-79.883519,-2.142144)",217
"(-79.890259,-2.161344)",143
"(-79.883032,-2.133107)",128
"(-79.873744,-2.08132)",223
"(-79.89179,-2.131974)",192
"(-79.912441,-2.218639)",361
"(-79.868695,-2.116279)",206
"(-79.840505,-2.072269)",161
"(-79.872756,-2.07314)",385
"(-79.946725,-2.13641)",375
"(-79.8942,-2.13162)",221
