coordenadas,id_trayectoria
"(-79.871797,-2.07321)",431
"(-79.89547,-2.163479)",197
"(-79.887145,-2.155945)",38
"(-79.886415,-2.151195)",185
"(-79.873982,-2.095679)",188
"(-79.872154,-2.061232)",431
"(-79.872325,-2.073207)",185
"(-79.894924,-2.130082)",129
"(-79.873825,-2.100794)",146
"(-79.874034,-2.09668)",130
"(-79.873955,-2.09693)",193
"(-79.868282,-2.117135)",178
"(-79.873562,-2.086132)",318
"(-79.833679,-2.067702)",159
"(-79.834807,-2.072974)",393
"(-79.885175,-2.145247)",441
"(-79.895637,-2.129207)",135
"(-79.868995,-2.115925)",194
"(-79.873595,-2.0861)",144
"(-79.877747,-2.126174)",144
"(-79.882447,-2.129364)",318
"(-79.882367,-2.133035)",148
"(-79.895604,-2.163775)",171
"(-79.833607,-2.067797)",394
"(-79.895,-2.180551)",379
"(-79.881997,-2.136235)",158
"(-79.865785,-2.121944)",162
"(-79.886309,-2.150282)",62
"(-79.873569,-2.073042)",328
"(-79.895369,-2.164602)",187
"(-79.88628,-2.151994)",204
"(-79.882184,-2.134259)",328
"(-79.848457,-2.074125)",208
"(-79.882242,-2.1331)",178
"(-79.895692,-2.132196)",137
"(-79.883447,-2.133144)",139
"(-79.87189,-2.073406)",64
"(-79.895857,-2.131992)",174
"(-79.871005,-2.112169)",134
"(-79.873885,-2.074604)",445
"(-79.886035,-2.146927)",211
"(-79.873802,-2.092014)",165
"(-79.895159,-2.16789)",172
"(-79.884049,-2.128064)",180
"(-79.885322,-2.129185)",197
"(-79.895697,-2.13215)",170
"(-79.884392,-2.143701)",178
"(-79.885107,-2.145144)",215
"(-79.873794,-2.078927)",213
"(-79.898354,-2.157752)",367
"(-79.895514,-2.163502)",171
"(-79.89417,-2.131482)",151
"(-79.895377,-2.164594)",133
"(-79.893035,-2.16683)",186
"(-79.872464,-2.106465)",44
"(-79.873774,-2.073654)",148
"(-79.895109,-2.128405)",437
"(-79.873319,-2.103474)",222
"(-79.87021,-2.113815)",212
"(-79.8881,-2.157629)",197
"(-79.890144,-2.243209)",374
"(-79.878784,-2.12632)",210
"(-79.873655,-2.083449)",140
"(-79.892164,-2.164559)",148
"(-79.89591,-2.196463)",341
"(-79.833672,-2.069959)",215
"(-79.907223,-2.179169)",351
"(-79.870734,-2.124882)",407
"(-79.872335,-2.125436)",122
"(-79.899409,-2.147452)",41
"(-79.882454,-2.131822)",59
"(-79.873735,-2.081497)",189
"(-79.895444,-2.16345)",225
"(-79.874045,-2.09888)",445
"(-79.882082,-2.052307)",390
"(-79.886362,-2.050562)",431
"(-79.873125,-2.104612)",384
"(-79.860139,-2.075582)",445
"(-79.895879,-2.196275)",340
"(-79.88606,-2.152989)",441
"(-79.892182,-2.166705)",213
"(-79.885944,-2.14673)",223
"(-79.873039,-2.104774)",130
"(-79.881942,-2.126742)",180
"(-79.873774,-2.101639)",172
"(-79.868469,-2.11669)",204
"(-79.873942,-2.100606)",196
"(-79.872402,-2.073187)",218
"(-79.872002,-2.10889)",185
"(-79.832894,-2.068197)",213
"(-79.888585,-2.131724)",206
"(-79.888021,-2.13119)",394
"(-79.881327,-2.126655)",133
"(-79.83306,-2.067959)",184
"(-79.866167,-2.07408)",219
"(-79.895614,-2.132224)",141
"(-79.884904,-2.128685)",196
"(-79.840972,-2.072305)",59
"(-79.882367,-2.133035)",144
"(-79.87408,-2.098874)",139
"(-79.885807,-2.128855)",210
"(-79.888804,-2.131774)",182
"(-79.884689,-2.128549)",197
"(-79.837569,-2.072666)",130
"(-79.895647,-2.163774)",177
"(-79.929789,-2.162547)",352
"(-79.870027,-2.124439)",211
"(-79.885972,-2.129587)",211
"(-79.846579,-2.073915)",153
"(-79.89566,-2.132169)",173
"(-79.895352,-2.164634)",218
"(-79.898871,-2.172354)",366
"(-79.890355,-2.050029)",392
"(-79.885117,-2.128789)",194
"(-79.872592,-2.106652)",216
"(-79.94862,-2.162209)",374
"(-79.88509,-2.128772)",184
"(-79.833677,-2.068279)",200
"(-79.88956,-2.131969)",188
"(-79.873997,-2.096915)",58
"(-79.873897,-2.075357)",151
"(-79.901458,-2.206595)",357
"(-79.854717,-2.075302)",182
"(-79.869727,-2.114552)",188
"(-79.937037,-2.081052)",392
"(-79.873654,-2.083467)",222
"(-79.895465,-2.163594)",319
"(-79.881065,-2.126624)",157
"(-79.834982,-2.073215)",184
"(-79.843087,-2.072619)",125
"(-79.87402,-2.096437)",217
"(-79.838984,-2.072402)",169
"(-79.894966,-2.181746)",352
"(-79.88326,-2.14168)",130
"(-79.847997,-2.163384)",70
"(-79.883756,-2.142409)",384
"(-79.88226,-2.126794)",126
"(-79.883882,-2.127927)",196
"(-79.872569,-2.106735)",220
"(-79.871129,-2.11185)",138
"(-79.871942,-2.109107)",445
"(-79.895787,-2.163855)",170
"(-79.873097,-2.104501)",191
"(-79.892202,-2.166365)",129
"(-79.895634,-2.132144)",124
"(-79.870111,-2.113872)",154
"(-79.893912,-2.131994)",214
"(-79.847294,-2.073995)",218
"(-79.868131,-2.117399)",212
"(-79.875432,-2.125839)",155
"(-79.911354,-2.14736)",375
"(-79.833267,-2.068032)",121
"(-79.930274,-2.193443)",341
"(-79.895542,-2.163764)",209
"(-79.89043,-2.13319)",165
"(-79.873749,-2.081172)",169
"(-79.885542,-2.129355)",125
"(-79.894605,-2.136562)",394
"(-79.948329,-2.182304)",391
"(-79.84446,-2.073425)",176
"(-79.892515,-2.166835)",135
"(-79.837034,-2.072732)",437
"(-79.87173,-2.073279)",150
"(-79.87286,-2.105299)",326
"(-79.832194,-2.068396)",225
"(-79.88866,-2.158645)",409
"(-79.90616,-2.188144)",371
"(-79.892189,-2.166569)",213
"(-79.874029,-2.099884)",170
"(-79.886055,-2.129292)",128
"(-79.873722,-2.090514)",194
"(-79.873587,-2.088164)",193
"(-79.893912,-2.131994)",143
"(-79.89559,-2.187788)",351
"(-79.896748,-2.185723)",361
"(-79.870444,-2.07346)",211
"(-79.88585,-2.14654)",201
"(-79.885034,-2.12875)",217
"(-79.895152,-2.194184)",340
"(-79.94875,-2.8498484)",258
"(-79.873622,-2.085164)",136
"(-79.851822,-2.075504)",329
"(-79.872169,-2.108266)",127
"(-79.891542,-2.132295)",172
"(-79.88621,-2.153854)",146
"(-79.896364,-2.197957)",344
"(-79.887729,-2.156957)",384
"(-79.874059,-2.097182)",202
"(-79.841349,-2.072212)",319
"(-79.885144,-2.128787)",130
"(-79.832402,-2.068402)",220
"(-79.886109,-2.129502)",148
"(-79.89695,-2.185384)",357
"(-79.87021,-2.113815)",179
"(-79.873602,-2.08574)",435
"(-79.888612,-2.131705)",438
"(-79.893449,-2.186141)",341
"(-79.83659,-2.072739)",170
"(-79.886849,-2.130304)",154
"(-79.856872,-2.074722)",389
"(-79.896495,-2.161804)",61
"(-79.884219,-2.143445)",123
"(-79.872574,-2.106865)",147
"(-79.86918,-2.073654)",385
"(-79.836482,-2.07284)",69
"(-79.88579,-2.128837)",185
"(-79.88039,-2.126537)",128
"(-79.863492,-2.137507)",326
"(-79.88326,-2.14168)",141
"(-79.94875,-2.8498484)",71
"(-79.883602,-2.133164)",218
"(-79.839267,-2.072361)",201
"(-79.89542,-2.129479)",225
"(-79.897937,-2.176354)",332
"(-79.88628,-2.151994)",126
"(-79.869327,-2.073614)",198
"(-79.89501,-2.166164)",160
"(-79.876525,-2.12602)",203
"(-79.884207,-2.128194)",140
"(-79.889735,-2.132499)",164
"(-79.910402,-2.177766)",387
"(-79.871002,-2.125017)",186
"(-79.871582,-2.110599)",217
"(-79.882569,-2.140352)",201
"(-79.873504,-2.125616)",226
"(-79.87402,-2.096437)",216
"(-79.884904,-2.128685)",170
"(-79.895459,-2.16373)",159
"(-79.895935,-2.16453)",27
"(-79.873652,-2.083615)",165
"(-79.895072,-2.132245)",128
"(-79.895484,-2.164419)",227
"(-79.873824,-2.0777)",446
"(-79.930096,-2.155768)",387
"(-79.833685,-2.067899)",175
"(-79.833247,-2.068057)",150
"(-79.873655,-2.083441)",199
"(-79.892109,-2.131657)",204
"(-79.881065,-2.126624)",148
"(-79.865747,-2.074144)",126
"(-79.947504,-2.088335)",391
"(-79.873654,-2.083467)",174
"(-79.886438,-2.150898)",379
"(-79.869535,-2.114875)",170
"(-79.833612,-2.067682)",172
"(-79.894689,-2.131207)",178
"(-79.882431,-2.140069)",196
"(-79.891474,-2.132655)",446
"(-79.947246,-2.135107)",392
"(-79.872595,-2.106524)",133
"(-79.872739,-2.106144)",198
"(-79.943422,-2.0843)",391
"(-79.89521,-2.131439)",138
"(-79.885217,-2.128805)",194
"(-79.88624,-2.152215)",188
"(-79.890954,-2.239137)",375
"(-79.872981,-2.10506)",127
"(-79.868229,-2.117125)",195
"(-79.882569,-2.140352)",197
"(-79.883537,-2.127637)",177
"(-79.88287,-2.140949)",203
"(-79.869919,-2.114217)",190
"(-79.872855,-2.105392)",158
"(-79.894447,-2.167897)",139
