coordenadas,id_trayectoria
"(-79.889722,-2.160381)",195
"(-79.895742,-2.132132)",163
"(-79.885034,-2.12875)",174
"(-79.895218,-2.181699)",352
"(-79.88611,-2.129255)",393
"(-79.8881,-2.157629)",126
"(-79.87264,-2.12549)",176
"(-79.853037,-2.07585)",154
"(-79.869304,-2.115386)",132
"(-79.841167,-2.072297)",454
"(-79.899424,-2.137962)",393
"(-79.873939,-2.096447)",179
"(-79.884017,-2.130725)",177
"(-79.89361,-2.186679)",360
"(-79.881065,-2.126624)",174
"(-79.896487,-2.19843)",340
"(-79.894527,-2.130595)",191
"(-79.895542,-2.163764)",210
"(-79.87403,-2.097715)",437
"(-79.89577,-2.196208)",360
"(-79.841532,-2.072066)",394
"(-79.892109,-2.131657)",168
"(-79.868434,-2.116895)",191
"(-79.832879,-2.068374)",208
"(-79.873625,-2.084885)",137
"(-79.886745,-2.155269)",190
"(-79.866035,-2.121181)",148
"(-79.884685,-2.128559)",445
"(-79.873909,-2.100024)",223
"(-79.873879,-2.074722)",129
"(-79.849927,-2.07431)",218
"(-79.888615,-2.15847)",224
"(-79.874062,-2.097447)",222
"(-79.872689,-2.10639)",195
"(-79.894202,-2.131771)",178
"(-79.872188,-2.108397)",327
"(-79.884549,-2.128457)",136
"(-79.850329,-2.074429)",152
"(-79.922562,-2.071337)",391
"(-79.886314,-2.15179)",137
"(-79.894154,-2.131354)",170
"(-79.873627,-2.084614)",214
"(-79.886394,-2.14837)",58
"(-79.868469,-2.11669)",178
"(-79.845094,-2.07357)",163
"(-79.87205,-2.125415)",226
"(-79.89219,-2.164605)",37
"(-79.841009,-2.072269)",175
"(-79.894475,-2.13188)",227
"(-79.884349,-2.143687)",213
"(-79.87357,-2.087115)",156
"(-79.88611,-2.152879)",452
"(-79.888657,-2.131729)",438
"(-79.884315,-2.129935)",189
"(-79.894089,-2.166817)",452
"(-79.885044,-2.145044)",196
"(-79.895904,-2.182508)",352
"(-79.88397,-2.127999)",161
"(-79.895604,-2.163775)",169
"(-79.881754,-2.126712)",446
"(-79.833607,-2.067771)",126
"(-79.840342,-2.07226)",123
"(-79.897604,-2.201969)",356
"(-79.868282,-2.117135)",219
"(-79.895652,-2.163772)",452
"(-79.861805,-2.074925)",131
"(-79.878084,-2.126227)",193
"(-79.850315,-2.074422)",174
"(-79.895509,-2.163564)",447
"(-79.868282,-2.117135)",144
"(-79.892202,-2.166365)",138
"(-79.893252,-2.16763)",137
"(-79.93699,-2.234562)",375
"(-79.890451,-2.099462)",379
"(-79.88467,-2.128642)",44
"(-79.912367,-2.176165)",386
"(-79.895692,-2.132182)",222
"(-79.886865,-2.155469)",195
"(-79.89417,-2.131164)",227
"(-79.895502,-2.163495)",207
"(-79.888804,-2.131774)",208
"(-79.890259,-2.161344)",188
"(-79.873982,-2.095679)",178
"(-79.862904,-2.074539)",214
"(-79.87402,-2.096437)",199
"(-79.868695,-2.116279)",201
