"","x"
"1","{(-79.867399,-2.073899),(-79.873692,-2.082534)}"
"2","{(-79.833674,-2.069487),(-79.840279,-2.072266)}"
"3","{(-79.86765,-2.118299),(-79.871345,-2.125184)}"
