coordenadas,id_trayectoria
"(-79.860472,-2.075446)",154
"(-79.873849,-2.092647)",219
"(-79.895792,-2.16382)",190
"(-79.931262,-2.120994)",387
"(-79.882012,-2.13557)",68
"(-79.890459,-2.161795)",38
"(-79.94875,-2.8498484)",262
"(-79.881914,-2.138109)",125
"(-79.846027,-2.073867)",157
"(-79.885895,-2.128899)",162
"(-79.88509,-2.128772)",129
"(-79.856244,-2.074527)",384
"(-79.835755,-2.073231)",181
"(-79.873945,-2.09668)",148
"(-79.891934,-2.164224)",128
"(-79.886164,-2.152672)",197
"(-79.895452,-2.163452)",189
"(-79.894447,-2.167897)",22
"(-79.89578,-2.163869)",184
"(-79.856832,-2.074724)",134
"(-79.871379,-2.111235)",166
"(-79.885347,-2.128825)",149
"(-79.873607,-2.085775)",226
"(-79.873685,-2.08271)",217
"(-79.869765,-2.114584)",145
"(-79.873942,-2.100606)",147
"(-79.895692,-2.132182)",166
"(-79.872509,-2.107005)",136
"(-80.254879,-2.314057)",394
"(-79.88285,-2.127062)",195
"(-79.894757,-2.15583)",61
"(-79.889444,-2.15992)",159
"(-79.873815,-2.078235)",130
"(-79.843817,-2.072974)",139
"(-79.83638,-2.073004)",223
"(-79.892177,-2.165579)",451
"(-79.895794,-2.13208)",133
"(-79.872569,-2.106735)",226
"(-79.873825,-2.100794)",149
"(-79.882054,-2.135529)",181
"(-79.895692,-2.132196)",144
"(-79.850712,-2.074564)",393
"(-79.930127,-2.19305)",340
"(-79.895787,-2.163855)",165
"(-79.892202,-2.164719)",224
"(-79.895367,-2.164604)",210
"(-79.895789,-2.16385)",173
"(-79.895369,-2.164602)",144
"(-79.870859,-2.1125)",158
"(-79.882224,-2.133529)",200
"(-79.94875,-2.8498484)",259
"(-79.868695,-2.116279)",142
"(-79.891384,-2.132809)",169
"(-79.85693,-2.074784)",66
"(-79.840397,-2.072312)",58
"(-79.888355,-2.158042)",175
"(-79.881949,-2.1351)",452
"(-79.873735,-2.09115)",328
"(-79.88195,-2.137097)",181
"(-79.895794,-2.131907)",220
"(-79.842469,-2.072432)",226
"(-79.895692,-2.132196)",180
"(-79.882502,-2.126879)",209
"(-79.884177,-2.130184)",161
"(-79.886532,-2.149032)",149
"(-79.883832,-2.132052)",187
"(-79.895244,-2.132484)",181
"(-79.850302,-2.074424)",222
"(-79.892182,-2.166705)",203
"(-79.867552,-2.118427)",58
"(-79.872921,-2.10512)",128
"(-79.883447,-2.133144)",207
"(-79.895784,-2.163865)",186
"(-79.873472,-2.102944)",139
"(-79.858922,-2.075869)",154
"(-79.850627,-2.074559)",149
"(-79.871582,-2.110599)",208
"(-79.843596,-2.072852)",190
"(-79.94875,-2.8498484)",262
"(-79.871899,-2.109437)",394
"(-79.841626,-2.071979)",192
"(-79.864659,-2.152857)",70
"(-79.873877,-2.093624)",168
"(-79.893322,-2.167777)",156
"(-79.894965,-2.167917)",178
"(-79.892175,-2.131674)",147
"(-79.932122,-2.118183)",387
"(-79.883472,-2.12758)",140
"(-79.877434,-2.151834)",70
"(-79.883472,-2.12758)",153
"(-79.866239,-2.12227)",211
"(-79.892184,-2.165934)",452
"(-79.891934,-2.164224)",159
"(-79.887717,-2.131029)",226
"(-79.872569,-2.106735)",131
"(-79.872855,-2.105392)",137
"(-79.89586,-2.131997)",217
"(-79.833005,-2.067917)",226
"(-79.882964,-2.127157)",189
"(-79.898446,-2.157944)",367
"(-79.873119,-2.104317)",223
"(-79.894475,-2.13188)",178
"(-79.876144,-2.125934)",196
"(-79.874002,-2.096196)",126
"(-79.894527,-2.130595)",224
"(-79.884537,-2.144037)",442
"(-79.893035,-2.16683)",198
"(-79.873964,-2.099289)",143
"(-79.873942,-2.099657)",154
"(-79.837687,-2.072651)",439
"(-79.834755,-2.072997)",156
"(-79.841149,-2.072266)",134
"(-79.884344,-2.143689)",227
"(-79.88617,-2.147077)",328
"(-79.88564,-2.129429)",221
"(-79.850315,-2.074422)",193
"(-79.88628,-2.151994)",147
"(-79.870956,-2.073374)",453
"(-79.865787,-2.121737)",138
"(-79.89566,-2.132169)",224
"(-79.853037,-2.07585)",142
"(-79.895705,-2.132165)",153
"(-79.857289,-2.074922)",195
"(-79.881924,-2.137709)",145
"(-79.904419,-2.157365)",374
"(-79.868469,-2.11669)",206
"(-79.865904,-2.121512)",210
"(-79.886544,-2.14917)",205
"(-79.844832,-2.073354)",440
"(-79.852352,-2.075757)",218
"(-79.842879,-2.072522)",59
"(-79.895395,-2.163404)",38
"(-79.838135,-2.072545)",123
"(-79.8984542,-2.1772747)",336
"(-79.849987,-2.074319)",437
"(-79.89178,-2.164025)",214
"(-79.886362,-2.129889)",127
"(-79.89434,-2.167897)",204
"(-79.873942,-2.099657)",132
"(-79.89544,-2.163449)",146
"(-79.892764,-2.132155)",142
"(-79.8672,-2.122755)",435
"(-79.873659,-2.102185)",178
"(-79.887835,-2.157262)",186
