coordenadas,id_trayectoria
"(-79.865747,-2.074144)",205
"(-79.887125,-2.155874)",205
"(-79.884199,-2.143342)",121
"(-79.897869,-2.176849)",383
"(-79.842157,-2.072302)",180
"(-79.895787,-2.163855)",130
"(-79.879787,-2.126459)",143
"(-79.885061,-2.145025)",441
"(-79.883784,-2.127844)",198
"(-79.895159,-2.16789)",204
"(-79.871437,-2.11123)",156
"(-79.857985,-2.075489)",161
"(-79.873569,-2.073042)",328
"(-79.872325,-2.073207)",215
"(-79.886199,-2.129702)",144
"(-79.895109,-2.16715)",157
"(-79.865785,-2.121944)",225
"(-79.89509,-2.166879)",164
"(-79.878442,-2.126274)",175
"(-79.834427,-2.071494)",123
"(-79.882599,-2.122785)",318
"(-79.883607,-2.127697)",174
"(-79.896049,-2.164287)",444
"(-79.841009,-2.072269)",140
"(-79.877924,-2.12618)",407
"(-79.869304,-2.115386)",147
"(-79.869327,-2.073614)",137
"(-79.88655,-2.150039)",409
"(-79.883949,-2.142969)",441
"(-79.890187,-2.161294)",452
"(-79.895467,-2.163459)",170
"(-79.88661,-2.155069)",410
"(-79.841224,-2.072299)",438
"(-79.843404,-2.072755)",161
"(-79.886025,-2.129112)",194
"(-80.188624,-2.279929)",394
"(-79.868282,-2.117135)",221
"(-79.832455,-2.068615)",439
"(-79.889299,-2.131729)",437
"(-79.873802,-2.078587)",140
"(-79.877702,-2.126176)",160
"(-79.896665,-2.138144)",448
"(-79.886025,-2.129112)",134
"(-79.886055,-2.129292)",179
"(-79.883682,-2.115374)",380
"(-79.866997,-2.073959)",202
"(-80.273512,-2.341332)",393
"(-79.873827,-2.095514)",208
"(-79.873955,-2.09693)",130
"(-79.893625,-2.16782)",125
"(-79.879432,-2.126405)",170
"(-79.886545,-2.150299)",130
"(-79.94875,-2.8498484)",259
"(-79.895787,-2.163857)",217
"(-79.889425,-2.131867)",207
"(-79.873924,-2.095529)",174
"(-80.07915,-2.215046)",394
"(-79.953767,-2.186209)",392
"(-79.895764,-2.132109)",146
"(-79.873924,-2.095539)",158
"(-79.890304,-2.049575)",391
"(-79.832262,-2.068415)",318
"(-79.8922,-2.164777)",410
"(-79.873837,-2.095636)",166
"(-79.873595,-2.0861)",129
"(-79.868131,-2.117399)",194
"(-80.36211,-2.397437)",394
"(-79.849024,-2.074179)",162
"(-79.886325,-2.154354)",188
"(-79.889477,-2.160074)",452
"(-79.88591,-2.129575)",168
"(-79.895774,-2.163872)",128
"(-79.895742,-2.132132)",169
"(-79.89568,-2.163774)",444
"(-79.885765,-2.129512)",205
"(-79.892205,-2.165532)",26
"(-80.125894,-2.246822)",393
"(-79.895467,-2.163459)",174
"(-79.87375,-2.09112)",168
"(-79.835682,-2.073259)",68
"(-79.872325,-2.073207)",153
"(-79.895169,-2.090233)",380
"(-79.887835,-2.157262)",170
"(-79.857939,-2.075475)",328
"(-79.893254,-2.167484)",226
"(-79.891565,-2.163779)",441
"(-79.906267,-2.188139)",370
"(-79.866532,-2.120287)",26
"(-79.865829,-2.121685)",196
"(-79.894997,-2.13209)",135
"(-79.893189,-2.132259)",170
"(-80.13286,-2.248365)",394
"(-79.88607,-2.153394)",442
"(-79.884535,-2.128444)",131
"(-79.894202,-2.131771)",202
"(-79.833847,-2.070194)",148
"(-79.886525,-2.15047)",227
"(-79.894219,-2.131159)",227
"(-79.955524,-2.087381)",365
"(-79.883062,-2.127244)",142
"(-79.866581,-2.074022)",167
"(-79.885364,-2.145612)",191
"(-79.881244,-2.126646)",445
"(-79.90511,-2.147927)",70
"(-79.894447,-2.167897)",148
"(-79.863055,-2.074494)",390
"(-79.885542,-2.129355)",143
"(-79.879862,-2.155057)",70
"(-79.897519,-2.158535)",448
"(-79.886635,-2.155077)",198
"(-79.859266,-2.075855)",226
"(-79.885034,-2.12875)",146
"(-79.895057,-2.166465)",410
"(-79.868197,-2.073782)",205
"(-79.869262,-2.073575)",454
"(-79.833667,-2.067627)",68
"(-79.872849,-2.105642)",162
"(-79.8964552,-2.1814537)",309
"(-79.882177,-2.139462)",66
"(-79.882057,-2.138934)",168
"(-79.882057,-2.138934)",155
"(-79.88547,-2.145814)",172
"(-79.886055,-2.129292)",132
"(-79.897748,-2.191279)",371
"(-79.83732,-2.072732)",152
"(-79.833847,-2.070194)",137
"(-79.892387,-2.166832)",184
"(-79.893386,-2.132239)",217
"(-79.887739,-2.157075)",223
"(-79.868229,-2.117125)",179
"(-79.888694,-2.131782)",436
"(-79.885972,-2.129587)",174
"(-79.87267,-2.07315)",129
"(-79.873999,-2.100344)",454
"(-79.885187,-2.129087)",212
"(-79.895815,-2.13206)",156
"(-79.948747,-2.130355)",392
"(-79.8893,-2.15967)",141
