coordenadas,id_trayectoria
"(-79.885184,-2.145275)",131
"(-79.872509,-2.107005)",223
"(-79.889837,-2.160594)",186
"(-79.871905,-2.109535)",201
"(-79.890317,-2.133162)",163
"(-79.882134,-2.139212)",174
"(-79.892224,-2.16567)",206
"(-79.898575,-2.173517)",382
"(-79.882569,-2.140352)",147
"(-79.893815,-2.167842)",139
"(-79.872417,-2.107412)",146
"(-79.87845,-2.126277)",155
"(-79.88214,-2.134549)",179
"(-79.894689,-2.131207)",182
"(-79.884594,-2.128489)",143
"(-79.895815,-2.13206)",170
"(-79.832614,-2.068405)",136
"(-79.884392,-2.143701)",207
"(-79.868917,-2.115887)",163
"(-79.873685,-2.082459)",451
"(-79.872377,-2.073195)",178
"(-79.873794,-2.078927)",179
"(-79.949414,-2.128184)",392
"(-79.873184,-2.104054)",142
"(-79.87358,-2.08781)",143
"(-79.886952,-2.15557)",385
"(-79.873825,-2.092326)",177
"(-79.895497,-2.163482)",124
"(-79.873959,-2.0978)",130
"(-79.877747,-2.126174)",218
"(-79.877077,-2.12607)",188
"(-79.871379,-2.111235)",143
"(-79.834514,-2.071751)",219
"(-79.834759,-2.072915)",129
"(-79.895086,-2.166787)",130
"(-79.873692,-2.082534)",227
"(-79.87375,-2.09112)",151
"(-79.869587,-2.124207)",186
"(-79.869304,-2.115386)",136
"(-79.872059,-2.108897)",134
"(-79.850371,-2.07443)",180
"(-79.87267,-2.07315)",145
"(-79.906549,-2.188083)",371
"(-79.881974,-2.136579)",173
"(-79.910252,-2.238844)",374
"(-79.870495,-2.113179)",136
"(-79.886202,-2.152442)",123
"(-79.871492,-2.111709)",63
"(-79.886325,-2.154354)",185
"(-79.873614,-2.125609)",158
"(-79.895655,-2.164049)",441
"(-79.884935,-2.128701)",128
"(-79.886529,-2.148934)",227
"(-79.8914,-2.133034)",162
"(-79.832899,-2.068011)",200
"(-79.845464,-2.073794)",206
"(-79.846034,-2.073814)",26
"(-79.872994,-2.073105)",184
"(-79.884985,-2.128729)",147
"(-79.872797,-2.105659)",158
"(-79.873872,-2.0764)",191
