coordenadas,id_trayectoria
"(-79.881975,-2.126737)",187
"(-79.860169,-2.075569)",157
"(-79.90356,-2.199791)",341
"(-79.840825,-2.07227)",155
"(-79.833407,-2.068589)",34
"(-79.833595,-2.067765)",328
"(-79.856625,-2.074642)",202
"(-79.886055,-2.129292)",124
"(-79.893386,-2.132239)",144
"(-79.873817,-2.093494)",394
"(-79.873945,-2.094856)",127
"(-79.840649,-2.072272)",165
"(-79.87357,-2.087115)",176
"(-79.831939,-2.068394)",151
"(-79.873692,-2.07702)",64
"(-79.866949,-2.122592)",193
"(-79.882194,-2.133985)",217
"(-79.897128,-2.179471)",383
"(-79.873314,-2.103584)",22
"(-79.873729,-2.081275)",452
"(-79.873539,-2.102401)",193
"(-79.872377,-2.073195)",126
"(-79.884949,-2.144914)",180
"(-79.842672,-2.072487)",179
"(-79.914484,-2.239385)",375
"(-79.892214,-2.164884)",216
"(-80.296854,-2.362494)",393
"(-79.874072,-2.097707)",126
"(-79.883132,-2.141444)",151
"(-79.88319,-2.141627)",442
"(-79.94875,-2.8498484)",258
"(-79.873942,-2.099657)",148
"(-79.873097,-2.104501)",140
"(-79.872592,-2.106652)",221
"(-79.8682,-2.123322)",226
"(-79.871984,-2.109212)",176
"(-79.947059,-2.180064)",374
"(-79.884354,-2.143694)",165
"(-79.947959,-2.101029)",391
"(-79.895642,-2.13212)",22
"(-79.889415,-2.159974)",452
"(-79.888484,-2.15825)",176
"(-79.87377,-2.079949)",160
"(-79.861119,-2.07519)",157
"(-79.903484,-2.16959)",374
"(-79.836427,-2.07315)",34
"(-79.897029,-2.185328)",361
"(-79.898934,-2.159873)",367
"(-79.897721,-2.191284)",370
"(-79.947652,-2.181379)",374
"(-79.89564,-2.163675)",330
"(-79.842154,-2.072297)",384
"(-79.85205,-2.075652)",130
"(-79.893254,-2.167484)",214
"(-79.895782,-2.16387)",193
"(-79.87221,-2.07322)",22
"(-79.873685,-2.082905)",188
"(-79.873704,-2.090205)",160
"(-79.874107,-2.099432)",385
"(-79.88621,-2.153854)",192
"(-79.87378,-2.091717)",208
"(-79.885972,-2.129587)",183
"(-79.832894,-2.068197)",222
"(-79.89586,-2.131997)",219
"(-79.867475,-2.118622)",195
"(-79.886525,-2.15047)",152
"(-79.886139,-2.153372)",227
"(-79.850514,-2.074464)",68
"(-79.873679,-2.074722)",65
"(-79.873319,-2.103474)",221
"(-79.895439,-2.163547)",60
"(-79.845892,-2.073849)",148
"(-79.85545,-2.074912)",446
"(-79.872169,-2.108266)",141
"(-79.884445,-2.129731)",385
"(-79.855335,-2.07497)",22
"(-79.885307,-2.128822)",215
"(-79.884392,-2.143701)",215
"(-79.883832,-2.142797)",58
"(-79.832295,-2.068402)",129
"(-79.866026,-2.121205)",26
"(-79.868765,-2.123679)",152
"(-79.874244,-2.12571)",138
"(-79.883404,-2.127525)",147
"(-79.836499,-2.072835)",181
"(-79.873682,-2.082714)",452
"(-79.873964,-2.099289)",126
"(-79.873572,-2.102549)",127
"(-79.833677,-2.068279)",165
"(-79.870459,-2.124719)",212
"(-79.900595,-2.200394)",340
"(-79.874082,-2.098269)",138
"(-79.899032,-2.206797)",360
"(-79.895759,-2.163912)",170
"(-79.900266,-2.206924)",357
"(-79.872957,-2.067839)",390
"(-79.8957,-2.129125)",154
"(-79.892849,-2.166844)",156
"(-79.889151,-2.101913)",379
"(-79.87191,-2.073255)",186
"(-79.873057,-2.104575)",214
"(-79.870677,-2.112864)",445
