"","x"
"1","{(-79.89043,-2.13319),(-79.891644,-2.163802)}"
"2","{(-79.871699,-2.125319),(-79.886109,-2.129502)}"
"3","{(-79.870815,-2.112722),(-79.893169,-2.166832)}"
