coordenadas,id_trayectoria
"(-79.870956,-2.073374)",454
"(-79.833675,-2.068714)",156
"(-79.890042,-2.050871)",391
"(-79.884735,-2.129344)",407
"(-79.894846,-2.181785)",352
"(-79.873734,-2.090822)",147
"(-79.895502,-2.163495)",142
"(-79.870745,-2.073419)",169
"(-79.873057,-2.104575)",199
"(-79.882427,-2.139939)",385
"(-79.948874,-2.1585)",392
"(-79.884619,-2.129514)",146
"(-79.926513,-2.193907)",341
"(-79.884949,-2.144914)",192
"(-79.857869,-2.075422)",445
"(-79.851307,-2.075185)",200
"(-79.870682,-2.11284)",185
"(-79.94875,-2.8498484)",263
"(-79.883034,-2.12721)",140
"(-79.89222,-2.165904)",203
"(-79.86408,-2.074359)",208
"(-79.886539,-2.149099)",161
"(-79.947707,-2.10805)",375
"(-79.883837,-2.131949)",156
"(-79.893254,-2.167484)",167
"(-79.873674,-2.082669)",445
"(-79.94875,-2.8498484)",263
"(-79.873749,-2.079885)",451
"(-79.83368,-2.068087)",192
"(-79.894729,-2.184411)",341
"(-79.892224,-2.165249)",171
"(-79.873614,-2.102222)",122
"(-79.8862,-2.14738)",138
"(-79.886164,-2.152672)",155
"(-79.873974,-2.09816)",209
"(-79.892187,-2.164535)",319
"(-79.873797,-2.073887)",177
"(-79.88621,-2.153854)",222
"(-79.878817,-2.126324)",173
"(-79.859874,-2.075689)",216
"(-79.88196,-2.134912)",442
"(-79.886342,-2.151592)",167
"(-79.895637,-2.129207)",224
"(-79.88564,-2.129429)",138
"(-79.8716,-2.111825)",62
"(-79.865887,-2.121479)",133
"(-79.871002,-2.125017)",219
"(-79.868699,-2.116447)",143
"(-79.873937,-2.095549)",146
"(-79.832879,-2.068374)",176
"(-79.89221,-2.166137)",171
"(-79.94875,-2.8498484)",21
"(-79.872544,-2.106849)",128
"(-79.851307,-2.075185)",167
"(-79.897018,-2.185319)",360
"(-79.884207,-2.128194)",164
"(-79.873982,-2.09854)",209
"(-79.846579,-2.073915)",169
"(-79.893567,-2.132187)",213
"(-79.886532,-2.149032)",207
"(-79.894909,-2.131284)",445
"(-79.894007,-2.167864)",150
"(-79.874072,-2.097707)",215
"(-79.873924,-2.096224)",124
"(-79.833652,-2.067647)",169
"(-79.87408,-2.098874)",206
"(-79.885765,-2.129512)",192
"(-79.838424,-2.072492)",138
"(-79.864454,-2.074262)",393
"(-79.871975,-2.109165)",436
"(-80.149512,-2.260244)",393
"(-79.88585,-2.14654)",206
"(-79.842277,-2.072375)",393
"(-79.873804,-2.078207)",445
"(-79.872621,-2.106412)",208
"(-79.882026,-2.13588)",157
"(-79.88339,-2.127514)",135
"(-79.87203,-2.10877)",407
"(-79.84497,-2.07347)",437
"(-79.893386,-2.132239)",201
"(-79.8102,-2.208105)",70
"(-79.873849,-2.092647)",174
"(-79.895264,-2.133264)",41
"(-79.895025,-2.166297)",22
"(-79.888934,-2.159087)",384
"(-79.892224,-2.165249)",174
"(-79.870815,-2.112722)",194
"(-79.871857,-2.109769)",326
"(-79.843596,-2.072852)",198
"(-79.872592,-2.106652)",158
"(-79.866739,-2.119844)",127
"(-79.895449,-2.163457)",160
"(-79.844597,-2.073747)",65
"(-79.833107,-2.068005)",210
"(-79.94875,-2.8498484)",252
"(-79.89773,-2.177679)",383
"(-79.898779,-2.158337)",366
"(-79.908089,-2.111556)",383
"(-79.831939,-2.068394)",130
"(-79.912432,-2.146849)",375
"(-79.840524,-2.072222)",390
"(-79.895604,-2.163775)",204
"(-79.883132,-2.141444)",208
"(-79.893672,-2.167794)",442
"(-79.883032,-2.133107)",193
"(-79.873592,-2.087239)",435
"(-79.84446,-2.073425)",160
"(-79.87067,-2.124824)",148
"(-79.89509,-2.166875)",134
"(-79.89578,-2.163869)",168
"(-79.873264,-2.103792)",170
"(-79.873572,-2.102549)",137
"(-79.886449,-2.150994)",182
"(-79.886197,-2.154082)",451
"(-79.866142,-2.121075)",22
"(-79.8848,-2.12862)",214
"(-79.88397,-2.127999)",144
"(-79.88545,-2.145684)",409
"(-79.890317,-2.133162)",166
"(-79.896888,-2.185634)",360
"(-79.87221,-2.07322)",217
"(-79.89357,-2.167755)",37
"(-79.860244,-2.075519)",319
"(-79.895002,-2.166022)",196
"(-79.869587,-2.124207)",157
"(-79.895695,-2.132154)",178
"(-79.883034,-2.12721)",216
"(-79.88188,-2.136724)",379
"(-79.894524,-2.131179)",172
"(-79.872169,-2.108266)",207
"(-79.891017,-2.133127)",445
"(-79.885979,-2.128982)",125
"(-79.833679,-2.067702)",204
"(-79.895975,-2.128715)",437
"(-79.873879,-2.096726)",65
"(-79.842537,-2.072437)",385
"(-79.885187,-2.129087)",133
"(-79.871747,-2.109927)",200
"(-79.895692,-2.132196)",181
"(-79.881997,-2.136235)",133
"(-79.901492,-2.144949)",448
"(-79.874054,-2.099536)",147
"(-79.895352,-2.164634)",158
"(-79.892225,-2.167769)",67
"(-79.895387,-2.16338)",409
"(-79.879117,-2.126364)",210
"(-79.895218,-2.181699)",351
"(-79.871112,-2.073369)",394
"(-79.85133,-2.075292)",65
"(-79.892165,-2.165752)",441
"(-79.901869,-2.166415)",375
"(-79.869454,-2.115125)",137
"(-79.867977,-2.11768)",168
"(-79.88534,-2.14555)",452
"(-79.873097,-2.104501)",130
"(-79.87358,-2.08781)",147
"(-79.87358,-2.08781)",165
"(-79.918327,-2.170389)",351
"(-79.870064,-2.114072)",176
"(-79.899509,-2.140294)",447
"(-79.866007,-2.121319)",162
"(-79.895492,-2.163482)",209
"(-79.895697,-2.13215)",189
"(-79.87305,-2.073087)",394
"(-79.891974,-2.131739)",219
"(-79.92209,-2.195059)",340
"(-79.872002,-2.10889)",134
"(-79.856124,-2.074589)",187
"(-79.86917,-2.12396)",210
"(-79.88527,-2.145441)",191
"(-79.894145,-2.131302)",133
"(-79.872239,-2.108007)",173
"(-79.869919,-2.114217)",210
"(-79.883765,-2.132802)",206
"(-79.895784,-2.163865)",215
"(-79.89572,-2.132154)",192
"(-79.874079,-2.097975)",155
"(-79.845992,-2.073864)",214
"(-79.858262,-2.075677)",153
"(-79.867197,-2.119045)",442
"(-79.873897,-2.093935)",227
"(-79.873459,-2.102779)",125
"(-79.882431,-2.140069)",156
"(-79.884122,-2.143205)",451
"(-79.873625,-2.087269)",122
"(-79.872819,-2.073132)",133
"(-79.844766,-2.073449)",185
"(-79.856124,-2.074589)",224
"(-79.892092,-2.164472)",452
"(-79.891908,-2.169335)",380
"(-79.873654,-2.083526)",133
"(-79.885129,-2.12888)",436
"(-79.891187,-2.16294)",143
"(-79.841009,-2.072269)",143
"(-79.882767,-2.133074)",168
"(-79.873495,-2.073044)",166
"(-79.885664,-2.146212)",442
"(-79.866739,-2.119844)",135
"(-79.873652,-2.083615)",201
"(-79.888687,-2.131775)",129
"(-79.872739,-2.106144)",156
"(-79.89178,-2.164025)",208
"(-79.873162,-2.104077)",122
"(-79.948149,-2.15619)",392
"(-79.87212,-2.125407)",438
"(-79.884052,-2.128031)",435
