coordenadas,id_trayectoria
"(-79.833612,-2.067682)",202
"(-79.869304,-2.124042)",329
"(-79.873654,-2.083467)",145
"(-79.89229,-2.166819)",174
"(-79.888669,-2.131774)",137
"(-79.888232,-2.157835)",199
"(-79.884095,-2.128101)",219
"(-79.8625,-2.074636)",454
"(-79.873835,-2.1013)",206
"(-79.873909,-2.100024)",136
"(-79.834515,-2.073039)",34
"(-79.836344,-2.073024)",184
"(-79.888477,-2.131632)",435
"(-79.89434,-2.167897)",205
"(-79.876142,-2.125974)",196
"(-79.851524,-2.075364)",190
"(-79.89153,-2.16357)",143
"(-79.895042,-2.12994)",148
"(-79.88432,-2.128287)",201
"(-79.873822,-2.09276)",318
"(-79.86621,-2.122225)",208
"(-79.873572,-2.087462)",211
"(-79.87238,-2.073194)",154
"(-79.892214,-2.164884)",130
"(-79.873959,-2.097189)",191
"(-79.8943,-2.13088)",156
"(-79.894437,-2.167904)",410
"(-79.89258,-2.132032)",162
"(-79.894527,-2.130595)",220
"(-79.873697,-2.101605)",227
"(-79.845984,-2.073861)",166
"(-79.890259,-2.161344)",191
"(-79.871005,-2.112169)",194
"(-79.889797,-2.132687)",168
"(-79.898863,-2.172345)",367
"(-79.876525,-2.12602)",198
"(-79.871652,-2.110554)",197
"(-79.853387,-2.075829)",177
"(-79.835995,-2.07316)",204
"(-79.840409,-2.072266)",150
"(-79.872517,-2.106875)",319
"(-79.917617,-2.170944)",386
"(-79.87502,-2.125784)",201
"(-79.885687,-2.146229)",198
"(-79.87173,-2.073279)",218
"(-79.873837,-2.073851)",385
"(-79.869327,-2.073614)",177
"(-79.837805,-2.072594)",59
"(-79.873622,-2.085164)",166
"(-79.867694,-2.12301)",139
"(-79.869609,-2.114857)",151
"(-79.851452,-2.075395)",63
"(-79.880692,-2.126572)",209
"(-79.842865,-2.072554)",69
"(-79.894154,-2.131354)",187
"(-79.873622,-2.102005)",182
"(-79.884695,-2.128555)",212
"(-79.873789,-2.079269)",225
"(-79.866167,-2.07408)",180
"(-79.881065,-2.126624)",127
"(-79.872377,-2.073195)",181
"(-79.946659,-2.087097)",375
"(-79.89483,-2.167916)",156
"(-79.850302,-2.074424)",157
"(-79.89414,-2.131414)",129
"(-79.873685,-2.073159)",142
"(-79.896013,-2.185941)",360
"(-79.883519,-2.142144)",150
"(-79.8697,-2.124249)",200
"(-79.83367,-2.069739)",184
"(-79.890157,-2.048707)",389
"(-79.873722,-2.090514)",166
"(-79.873054,-2.104204)",64
"(-79.89153,-2.16357)",181
"(-79.833672,-2.069959)",211
"(-79.873885,-2.07604)",207
"(-79.89579,-2.163849)",194
"(-79.873964,-2.09593)",122
"(-79.836609,-2.072697)",329
"(-79.87397,-2.095409)",154
"(-79.871747,-2.109927)",145
"(-79.89677,-2.153354)",70
"(-79.87361,-2.088884)",207
"(-79.873622,-2.085164)",124
"(-79.834864,-2.073139)",140
"(-79.847574,-2.074029)",158
"(-79.893432,-2.167804)",151
"(-79.873802,-2.077252)",452
"(-79.833727,-2.070115)",217
"(-79.856124,-2.074589)",130
"(-79.889407,-2.159882)",319
"(-79.866142,-2.121075)",170
"(-79.87378,-2.091717)",176
"(-79.885241,-2.12881)",215
"(-79.869379,-2.12406)",211
"(-79.89221,-2.166137)",215
"(-79.87238,-2.073194)",209
"(-79.840362,-2.072264)",184
"(-79.883669,-2.127749)",172
"(-79.931672,-2.126495)",386
"(-79.873915,-2.095597)",26
"(-79.871515,-2.073237)",390
"(-79.866574,-2.073979)",318
"(-79.883654,-2.142387)",210
"(-79.860472,-2.075446)",162
"(-80.190559,-2.28433)",393
"(-79.89773,-2.177679)",382
"(-79.885687,-2.12945)",26
"(-79.857192,-2.074889)",385
"(-79.887945,-2.131212)",126
"(-79.879787,-2.126459)",222
"(-79.832489,-2.068929)",453
"(-79.88512,-2.145097)",451
"(-79.88798,-2.157482)",452
"(-79.895497,-2.163482)",227
"(-79.908042,-2.238849)",375
"(-79.873802,-2.092014)",144
"(-79.89212,-2.167449)",58
"(-79.895022,-2.166017)",68
"(-79.872574,-2.106865)",140
"(-79.946769,-2.08544)",374
"(-79.874054,-2.099536)",135
"(-79.874619,-2.125765)",152
"(-79.894595,-2.163239)",448
"(-79.833672,-2.068964)",207
"(-79.842837,-2.072532)",193
"(-79.891294,-2.045285)",390
"(-79.866206,-2.120855)",186
"(-79.843817,-2.072974)",193
"(-79.873652,-2.083442)",138
"(-79.873797,-2.073887)",185
"(-79.89418,-2.131822)",140
"(-79.872567,-2.106577)",445
"(-79.87317,-2.104067)",441
"(-79.881382,-2.126662)",201
"(-79.895759,-2.163912)",225
"(-79.873829,-2.077865)",22
"(-79.873419,-2.103165)",207
"(-79.834374,-2.071254)",437
"(-79.87021,-2.113815)",190
"(-79.885549,-2.145977)",452
"(-79.831842,-2.068549)",222
"(-79.887125,-2.155874)",149
"(-79.872981,-2.10506)",168
"(-79.894622,-2.167922)",155
"(-79.884207,-2.128194)",158
"(-79.895604,-2.163775)",158
"(-79.873722,-2.090514)",140
"(-79.90393,-2.162347)",375
"(-79.87348,-2.084217)",34
"(-79.883032,-2.118324)",452
"(-79.882084,-2.135182)",146
"(-79.849725,-2.074247)",437
"(-79.866239,-2.12227)",127
"(-79.873679,-2.083114)",198
"(-79.885644,-2.12882)",152
"(-79.873184,-2.104054)",174
"(-79.832544,-2.069119)",34
"(-79.85594,-2.0747)",446
"(-79.889797,-2.132687)",155
"(-79.891305,-2.13309)",126
"(-79.8984542,-2.1824197)",338
"(-79.834759,-2.072915)",223
"(-79.869919,-2.114324)",161
"(-79.886552,-2.149332)",215
"(-79.873654,-2.083467)",193
"(-79.888892,-2.158947)",169
"(-79.848642,-2.074097)",394
"(-79.89569,-2.132164)",179
"(-79.873214,-2.104012)",224
"(-79.88621,-2.153854)",203
"(-79.895182,-2.167702)",214
"(-79.884695,-2.128555)",217
"(-79.889513,-2.100933)",379
"(-79.885587,-2.146035)",218
"(-79.892984,-2.132232)",22
"(-79.886544,-2.149175)",146
"(-79.898379,-2.14926)",447
"(-79.871652,-2.110554)",225
"(-79.91122,-2.17729)",351
"(-79.859874,-2.075689)",132
"(-79.897119,-2.195394)",450
"(-79.891417,-2.163362)",200
"(-79.883784,-2.127844)",130
"(-79.867039,-2.122685)",127
"(-79.92167,-2.074065)",391
"(-79.873802,-2.078587)",196
"(-79.87191,-2.073255)",169
"(-79.873909,-2.100024)",227
"(-79.872621,-2.106412)",135
"(-79.836729,-2.072709)",192
"(-79.867977,-2.11768)",127
"(-79.84429,-2.073294)",174
"(-79.84453,-2.073477)",142
