coordenadas,id_trayectoria
"(-79.850371,-2.07443)",215
"(-79.872422,-2.107339)",221
"(-79.873459,-2.102779)",182
"(-79.859266,-2.075855)",159
"(-79.883664,-2.127744)",221
"(-79.895692,-2.132196)",218
"(-79.89509,-2.166884)",148
"(-79.873802,-2.078587)",179
"(-79.856832,-2.074724)",146
"(-79.873955,-2.09693)",180
"(-79.94875,-2.8498484)",263
"(-79.883034,-2.12721)",161
"(-79.873529,-2.073481)",65
"(-79.873655,-2.083394)",186
"(-79.88372,-2.12779)",141
"(-79.948512,-2.163374)",392
"(-79.831839,-2.068735)",59
"(-79.885947,-2.128952)",193
"(-79.89517,-2.132479)",127
"(-79.873589,-2.08353)",65
"(-79.874074,-2.099197)",181
"(-79.886545,-2.149175)",160
"(-79.883914,-2.131322)",195
"(-79.873849,-2.092647)",124
"(-79.901712,-2.149262)",70
"(-79.895482,-2.163465)",156
"(-79.855034,-2.075132)",132
"(-79.846027,-2.073867)",150
"(-79.873924,-2.096224)",132
"(-80.181752,-2.273165)",394
"(-79.94875,-2.8498484)",252
"(-79.873622,-2.102005)",138
"(-79.840409,-2.072266)",136
"(-79.895657,-2.134115)",41
"(-79.888741,-2.158787)",410
"(-79.872584,-2.073102)",442
"(-79.870662,-2.113)",149
"(-79.836729,-2.072709)",221
"(-79.89229,-2.166819)",162
"(-79.834024,-2.070302)",121
"(-79.89483,-2.167916)",155
"(-79.865829,-2.121685)",202
"(-79.89516,-2.165004)",138
"(-79.878436,-2.145132)",70
"(-79.94875,-2.8498484)",263
"(-79.891007,-2.162739)",26
"(-79.886509,-2.148784)",177
"(-79.884127,-2.143265)",151
"(-79.884619,-2.129514)",217
"(-79.894447,-2.167897)",224
"(-79.888804,-2.131774)",167
"(-79.88385,-2.1279)",223
"(-79.835995,-2.07316)",173
"(-79.883669,-2.127749)",200
"(-79.886272,-2.151742)",59
"(-79.832399,-2.069099)",319
"(-79.874082,-2.098567)",160
"(-79.873482,-2.084181)",34
"(-79.88579,-2.128837)",170
"(-79.873625,-2.084885)",213
"(-79.872189,-2.108304)",164
"(-79.880915,-2.05294)",432
"(-79.883942,-2.127974)",145
"(-79.873955,-2.095132)",145
"(-79.892164,-2.164559)",222
"(-79.895244,-2.132484)",222
"(-79.866167,-2.07408)",132
"(-79.833612,-2.067682)",219
"(-79.882757,-2.140734)",227
"(-80.197362,-2.287535)",394
"(-79.87267,-2.07315)",217
"(-79.874082,-2.098269)",217
"(-79.895692,-2.132182)",198
"(-79.869304,-2.115386)",215
"(-79.871444,-2.12522)",446
"(-79.853742,-2.075757)",150
"(-79.871942,-2.109107)",445
"(-79.886132,-2.153135)",139
"(-79.858579,-2.075814)",188
"(-79.836199,-2.073089)",218
"(-79.873727,-2.081689)",126
"(-79.8963771,-2.18186)",312
"(-79.877747,-2.126174)",171
"(-79.882999,-2.14119)",165
"(-79.883879,-2.131597)",134
"(-79.873722,-2.090514)",195
"(-79.857519,-2.075079)",144
"(-79.883809,-2.132364)",126
"(-79.897593,-2.202072)",360
"(-79.871437,-2.11123)",181
"(-79.848457,-2.074125)",134
"(-79.874579,-2.125729)",190
"(-79.893815,-2.167842)",156
"(-79.883304,-2.127469)",59
"(-79.871744,-2.110204)",178
"(-79.884949,-2.144914)",128
"(-79.873057,-2.104575)",184
"(-79.89521,-2.131439)",186
"(-79.873757,-2.091672)",451
"(-79.886311,-2.154442)",442
"(-79.895087,-2.167916)",136
"(-79.889162,-2.159432)",123
"(-79.866962,-2.119569)",125
"(-79.888484,-2.15825)",153
"(-79.889272,-2.131814)",161
"(-79.895459,-2.163469)",178
"(-79.891075,-2.239984)",375
"(-79.868282,-2.117135)",124
"(-79.891832,-2.164154)",451
"(-79.885972,-2.129192)",58
"(-79.873774,-2.073654)",226
"(-79.834124,-2.070579)",135
"(-79.871005,-2.112169)",211
"(-79.873692,-2.081554)",442
"(-79.833247,-2.068057)",158
"(-79.873859,-2.093301)",202
"(-79.895742,-2.132132)",174
"(-79.890164,-2.050714)",392
"(-79.883822,-2.132182)",143
"(-79.886165,-2.15362)",175
"(-79.84291,-2.072552)",133
"(-79.895544,-2.163614)",319
"(-79.831979,-2.068994)",328
"(-79.873829,-2.095449)",178
"(-79.910475,-2.147615)",374
"(-79.841567,-2.07206)",329
"(-79.832727,-2.06839)",66
"(-79.928709,-2.193335)",341
"(-79.884349,-2.143701)",219
"(-79.86998,-2.073525)",132
"(-79.834262,-2.071007)",204
"(-79.883729,-2.133105)",137
"(-79.898522,-2.173435)",332
"(-79.895492,-2.163482)",140
"(-79.867845,-2.07387)",68
"(-79.886314,-2.15179)",170
"(-79.895716,-2.129104)",204
"(-79.892189,-2.166569)",170
"(-79.886375,-2.151407)",158
"(-79.855489,-2.074892)",328
"(-79.885044,-2.145044)",204
"(-79.895497,-2.163482)",225
"(-79.895692,-2.132196)",195
"(-79.833105,-2.067974)",69
"(-79.86915,-2.115652)",152
"(-79.873894,-2.075691)",172
"(-79.842157,-2.072302)",136
"(-80.096025,-2.227201)",393
"(-79.885044,-2.145044)",171
"(-80.245405,-2.31306)",393
"(-79.882797,-2.127032)",164
"(-79.873179,-2.073077)",197
