coordenadas,id_trayectoria
"(-80.091377,-2.223194)",394
"(-79.843222,-2.072659)",384
"(-79.8957,-2.129125)",169
"(-79.873652,-2.083615)",173
"(-79.884549,-2.128457)",134
"(-79.883955,-2.127987)",214
"(-79.895718,-2.181488)",352
"(-79.836499,-2.072835)",135
"(-79.874029,-2.099884)",126
"(-79.905534,-2.138954)",447
"(-79.873654,-2.083526)",216
"(-79.871487,-2.11092)",197
"(-79.870459,-2.124719)",152
"(-79.883775,-2.132934)",26
"(-79.884049,-2.128064)",179
"(-79.883859,-2.131334)",68
"(-79.893189,-2.132259)",135
"(-79.84446,-2.073425)",225
"(-79.883375,-2.1275)",149
"(-79.869379,-2.12406)",222
"(-80.089474,-2.221944)",394
"(-79.83532,-2.073277)",132
"(-79.949216,-2.183777)",392
"(-79.859874,-2.075689)",225
"(-79.9478,-2.100902)",374
"(-79.873627,-2.084614)",184
"(-79.885204,-2.128847)",328
"(-79.862709,-2.074615)",439
"(-79.881012,-2.12661)",195
"(-79.87183,-2.10958)",196
"(-79.866167,-2.07408)",157
"(-79.873792,-2.0783)",451
"(-79.880064,-2.12649)",173
"(-79.833685,-2.067899)",190
"(-79.906768,-2.219349)",361
"(-79.895002,-2.166022)",200
"(-80.107225,-2.233484)",393
"(-79.879974,-2.166098)",326
"(-79.873754,-2.08088)",177
"(-79.882431,-2.140069)",132
"(-79.873607,-2.085775)",211
"(-79.88426,-2.1441)",153
"(-79.895867,-2.191284)",449
"(-79.880729,-2.126584)",158
"(-79.894987,-2.165669)",328
"(-79.886572,-2.149927)",142
"(-79.871652,-2.110554)",152
"(-79.832159,-2.069022)",454
"(-79.892172,-2.165384)",451
"(-79.893742,-2.132099)",216
"(-79.895742,-2.132132)",157
"(-79.89517,-2.132479)",194
"(-79.89689,-2.156629)",34
"(-79.892242,-2.131734)",205
"(-79.890395,-2.049861)",392
"(-79.839267,-2.072361)",170
"(-79.88647,-2.1509)",409
"(-79.866941,-2.119492)",175
"(-79.873159,-2.104245)",175
"(-79.895029,-2.131349)",170
"(-79.895079,-2.166702)",176
"(-79.866379,-2.120522)",135
"(-79.833652,-2.067647)",165
"(-79.880064,-2.12649)",165
"(-79.895647,-2.163774)",222
"(-79.871324,-2.111545)",149
"(-79.873694,-2.090572)",58
"(-79.873609,-2.102272)",442
"(-79.886475,-2.150809)",205
"(-79.879464,-2.053709)",432
"(-79.88181,-2.137877)",442
"(-79.886045,-2.12954)",218
"(-79.87399,-2.095945)",203
"(-79.89509,-2.166879)",181
"(-79.947827,-2.109227)",391
"(-79.872994,-2.073105)",152
"(-79.842017,-2.167674)",70
"(-79.83359,-2.068796)",44
"(-79.885979,-2.128982)",142
"(-79.892083,-2.177654)",380
"(-79.886552,-2.149332)",152
"(-79.895497,-2.163477)",188
"(-79.873879,-2.075471)",437
"(-79.89521,-2.131439)",226
"(-79.895484,-2.164419)",219
"(-79.88339,-2.127514)",195
"(-79.94875,-2.8498484)",262
"(-79.889722,-2.050517)",389
"(-79.888897,-2.159057)",409
"(-79.893269,-2.167277)",177
"(-79.890112,-2.161079)",192
"(-79.833685,-2.067899)",136
"(-79.886427,-2.148266)",126
"(-79.869549,-2.073549)",454
"(-79.895634,-2.132144)",227
"(-79.882252,-2.131782)",451
"(-79.844187,-2.073215)",384
"(-79.879164,-2.126374)",183
"(-79.871539,-2.073302)",158
"(-79.867449,-2.122862)",185
"(-79.84298,-2.072581)",146
"(-79.871545,-2.1109)",163
"(-79.873849,-2.07714)",203
"(-79.879742,-2.126449)",137
"(-79.883832,-2.132052)",212
"(-79.873704,-2.090205)",139
"(-79.895562,-2.131689)",208
"(-79.882297,-2.139735)",191
"(-79.880091,-2.126494)",22
"(-79.88039,-2.126537)",196
"(-79.895495,-2.163491)",194
"(-79.873789,-2.079269)",203
"(-79.895842,-2.1639)",60
"(-79.895635,-2.164161)",135
"(-79.894852,-2.131975)",196
"(-79.891417,-2.163362)",195
