coordenadas,id_trayectoria
"(-79.895377,-2.164594)",214
"(-79.895849,-2.131967)",134
"(-79.874619,-2.125765)",177
"(-79.834685,-2.072267)",187
"(-79.893742,-2.132099)",221
"(-79.88489,-2.129169)",223
"(-79.9002992,-2.1785922)",647
"(-79.872469,-2.107171)",22
"(-79.886164,-2.152672)",191
"(-79.857289,-2.074922)",150
"(-79.891384,-2.132809)",171
"(-79.845957,-2.073854)",385
"(-79.87375,-2.081027)",151
"(-79.894689,-2.131207)",191
"(-79.888945,-2.131786)",134
"(-79.908736,-2.108546)",464
"(-79.9001738,-2.178858)",579
"(-79.889497,-2.049279)",391
"(-79.9002992,-2.1785922)",646
"(-79.89509,-2.166879)",186
"(-79.882731,-2.12373)",451
"(-79.873849,-2.092647)",166
"(-79.892109,-2.131657)",184
"(-79.873635,-2.084136)",135
"(-79.87322,-2.103775)",445
"(-79.9002383,-2.1788564)",622
"(-79.868757,-2.116257)",451
"(-79.94875,-2.8498484)",261
"(-79.866614,-2.120182)",186
"(-79.884465,-2.12971)",202
"(-79.866044,-2.122117)",124
"(-79.85987,-2.155392)",70
"(-79.894622,-2.167922)",125
"(-79.885332,-2.128857)",59
"(-79.897021,-2.185509)",466
"(-79.873894,-2.075691)",172
"(-79.88509,-2.128772)",188
"(-79.8804441,-2.1891804)",532
"(-79.9002992,-2.1785922)",643
"(-79.906074,-2.174267)",494
"(-79.879117,-2.126364)",134
"(-79.919466,-2.201988)",467
"(-79.938247,-2.08554)",482
"(-79.833672,-2.069224)",141
"(-79.9001738,-2.178858)",579
"(-79.9002992,-2.1785922)",647
"(-79.899002,-2.159679)",463
"(-79.896628,-2.185266)",466
"(-79.886165,-2.15362)",169
"(-79.873964,-2.099289)",226
"(-79.868229,-2.117125)",189
"(-79.895697,-2.13215)",174
"(-79.832605,-2.069066)",44
"(-79.88238,-2.125224)",319
"(-79.883235,-2.127384)",157
"(-79.88537,-2.128827)",132
"(-79.9001221,-2.1788177)",591
"(-79.88791,-2.131187)",446
"(-79.94875,-2.8498484)",254
"(-79.88547,-2.145814)",128
"(-79.886102,-2.15329)",26
"(-79.833107,-2.068005)",189
"(-79.873809,-2.101269)",319
"(-79.845432,-2.073766)",439
"(-79.894447,-2.167897)",158
"(-2.1471,-79.917)",526
"(-79.87021,-2.113815)",225
"(-79.871209,-2.111845)",139
"(-79.86998,-2.073525)",146
"(-79.873815,-2.078235)",145
"(-79.883079,-2.139446)",479
"(-79.895514,-2.163502)",185
"(-79.871229,-2.073355)",26
"(-79.870444,-2.07346)",155
"(-79.902362,-2.177611)",467
"(-79.883945,-2.127977)",156
"(-79.89572,-2.132154)",129
"(-79.883395,-2.127517)",144
"(-79.895552,-2.1643)",175
"(-79.886545,-2.14917)",199
"(-79.900286,-2.1785521)",602
"(-79.89579,-2.163852)",127
"(-79.9001776,-2.1787473)",581
"(-79.900286,-2.1785521)",602
"(-79.9002404,-2.1788559)",577
"(-79.895444,-2.16367)",181
"(-79.838984,-2.072402)",166
"(-79.873654,-2.083526)",202
"(-79.900229,-2.1788673)",587
"(-79.83368,-2.068087)",187
"(-79.895642,-2.13212)",224
"(-79.899892,-2.169656)",472
"(-79.87377,-2.079949)",217
"(-79.882474,-2.131015)",329
"(-79.898318,-2.174499)",464
"(-79.873685,-2.073159)",125
"(-79.872334,-2.107707)",127
"(-79.891187,-2.16294)",173
"(-79.881844,-2.126542)",451
"(-79.886475,-2.150827)",319
"(-79.886292,-2.151577)",442
"(-79.832895,-2.068292)",157
"(-79.870662,-2.113)",157
"(-79.895306,-2.132415)",222
"(-79.831939,-2.068394)",135
"(-79.9002992,-2.1785922)",640
"(-80.14935,-2.259337)",393
