coordenadas,id_trayectoria
"(-79.873735,-2.081637)",454
"(-79.892182,-2.16774)",58
"(-79.870859,-2.1125)",132
"(-79.873829,-2.077865)",210
"(-79.898657,-2.205604)",361
"(-79.883347,-2.127477)",198
"(-79.94875,-2.8498484)",254
"(-79.895787,-2.163855)",168
"(-79.861805,-2.074925)",197
"(-79.886449,-2.150994)",132
"(-79.867527,-2.118414)",180
"(-79.871324,-2.111545)",130
"(-79.890407,-2.16159)",207
"(-79.894154,-2.131354)",204
"(-79.84607,-2.073842)",453
"(-79.94875,-2.8498484)",240
"(-79.872015,-2.108969)",435
"(-79.870682,-2.11284)",213
"(-79.883962,-2.131022)",169
"(-79.893625,-2.16782)",187
"(-79.895025,-2.166297)",174
"(-79.886374,-2.151119)",59
"(-79.867797,-2.073839)",218
"(-79.840317,-2.072259)",121
"(-79.895642,-2.13212)",219
"(-79.856447,-2.074545)",134
"(-79.884535,-2.128444)",204
"(-79.873825,-2.100794)",138
"(-80.100339,-2.232115)",394
"(-79.883664,-2.127744)",145
"(-79.873794,-2.078927)",208
"(-79.890555,-2.161827)",215
"(-79.873982,-2.096227)",122
"(-79.94875,-2.8498484)",254
"(-79.905732,-2.139122)",448
"(-79.836274,-2.073069)",66
"(-79.873419,-2.103165)",166
"(-79.892202,-2.164719)",169
"(-79.842289,-2.072381)",135
"(-79.884764,-2.129329)",164
"(-79.895689,-2.132194)",133
"(-79.832899,-2.068345)",437
"(-79.918587,-2.170338)",387
"(-79.895634,-2.132144)",193
"(-79.868995,-2.115925)",146
"(-79.886544,-2.149175)",194
"(-79.886539,-2.149099)",133
"(-79.873772,-2.079702)",26
"(-79.843596,-2.072852)",194
"(-79.841257,-2.072404)",63
"(-79.870605,-2.07344)",191
"(-79.892202,-2.164719)",202
"(-79.888585,-2.131724)",152
"(-79.87173,-2.073279)",202
"(-79.834755,-2.072997)",150
"(-79.87021,-2.113815)",191
"(-79.895787,-2.16386)",226
"(-79.873674,-2.089895)",209
"(-79.833005,-2.067917)",211
"(-79.893254,-2.167484)",162
"(-79.885267,-2.128816)",221
"(-79.877135,-2.126084)",451
"(-79.876249,-2.125999)",438
"(-79.873734,-2.090822)",222
"(-79.904321,-2.16112)",375
"(-79.9332,-2.198475)",340
"(-79.894997,-2.165654)",385
"(-79.881887,-2.13625)",319
"(-79.833652,-2.067647)",124
"(-79.896293,-2.181473)",352
"(-79.883784,-2.127844)",140
"(-79.894219,-2.131159)",194
"(-79.94875,-2.8498484)",255
"(-79.872475,-2.073177)",168
"(-79.886415,-2.151195)",227
"(-79.894335,-2.13188)",185
"(-79.897107,-2.158617)",34
"(-79.842289,-2.072381)",166
"(-79.873872,-2.125662)",154
"(-79.906854,-2.147902)",70
"(-79.872921,-2.10512)",175
