id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
155597,482,116,"2021-07-03 09:01:29+00",-79.94055,-2.076278,11.607,0.994,11.677,0101000020E61000002E90A0F831FC53C0FB3BDBA3379C00C0,V
155499,481,135,"2021-07-03 09:01:48+00",-79.939873,-2.07905,20.721,1.006,20.597,0101000020E61000002E5915E126FC53C08BFD65F7E4A100C0,V
149369,468,719,"2021-07-03 08:44:48+00",-79.89605,-2.182103,16.194,1,16.194,0101000020E61000002C6519E258F953C02507EC6AF27401C0,V
168111,495,1151,"2021-07-03 09:25:05+00",-79.886934,-2.107862,21.901,1,21.901,0101000020E610000078EDD286C3F853C066D993C0E6DC00C0,V
168266,495,1306,"2021-07-03 09:27:40+00",-79.8819,-2.13601,17.894,0.993,18.02,0101000020E6100000EA95B20C71F853C0836E2F698C1601C0,V
169180,529,172,"2021-07-27 16:22:40+00",-2.1471,-79.917,1,1,1,0101000020E6100000CCEEC9C3422D01C0A69BC420B0FA53C0,M
153939,480,291,"2021-07-03 09:10:38+00",-79.89001,-2.147274,12.284,0.999,12.296,0101000020E61000003BC780ECF5F853C0A968ACFD9D2D01C0,C
151251,471,792,"2021-07-03 09:08:13+00",-79.897767,-2.177043,12.322,0.684,18.014,0101000020E6100000651BB80375F953C0C5E23785956A01C0,V
170124,533,298,"2021-07-31 17:50:26+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,M
155065,479,962,"2021-07-03 09:24:32+00",-79.896121,-2.182432,1.349,0.999,1.35,0101000020E61000009010E50B5AF953C073F38DE89E7501C0,C
147039,465,208,"2021-07-03 08:39:53+00",-79.895742,-2.183288,1.37,1.004,1.365,0101000020E6100000D5E940D653F953C076FEEDB25F7701C0,O
170469,533,643,"2021-07-31 17:50:31+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,V
154425,479,652,"2021-07-03 09:17:21+00",-79.897384,-2.163612,5.815,0.989,5.879,0101000020E610000009FD4CBD6EF953C07FDDE9CE134F01C0,C
166471,493,1501,"2021-07-03 09:32:43+00",-79.903742,-2.167044,12.801,0.953,13.432,0101000020E61000006281AFE8D6F953C0B7F1272A1B5601C0,V
163339,491,1191,"2021-07-03 09:34:43+00",-79.895647,-2.183494,1.714,1.002,1.71,0101000020E6100000AC70CB4752F953C00919C8B3CB7701C0,C
145543,463,545,"2021-07-03 08:04:29+00",-79.903069,-2.142655,15.54,1.066,14.578,0101000020E61000000342EBE1CBF953C015E3FC4D282401C0,V
166207,494,1324,"2021-07-03 09:29:45+00",-79.88663,-2.170892,14.64,1,14.64,0101000020E6100000C269C18BBEF853C02B2FF99FFC5D01C0,V
155411,481,91,"2021-07-03 09:00:09+00",-79.939837,-2.075416,11.609,0.999,11.621,0101000020E610000087A4164A26FC53C0D7C22CB4739A00C0,V
165893,493,1214,"2021-07-03 09:27:55+00",-79.880175,-2.164529,14.854,0.932,15.938,0101000020E61000006FF085C954F853C0DCF29194F45001C0,V
146454,463,997,"2021-07-03 08:13:51+00",-79.897159,-2.179753,3.242,1.012,3.204,0101000020E6100000F913950D6BF953C0F4DC4257227001C0,V
165143,494,777,"2021-07-03 09:12:32+00",-79.864724,-2.12343,20.644,1,20.644,0101000020E61000003E0455A357F753C022C32ADEC8FC00C0,V
154140,480,390,"2021-07-03 09:12:24+00",-79.892614,-2.151007,1.747,0.969,1.803,0101000020E6100000E97C789620F953C090BC7328433501C0,C
162448,492,631,"2021-07-03 09:22:54+00",-79.89482,-2.167986,2.672,1.999,1.336,0101000020E6100000A1F31ABB44F953C0A27C410B095801C0,C
169912,533,86,"2021-07-31 17:50:21+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,M
149372,467,830,"2021-07-03 08:46:49+00",-79.904186,-2.176345,11.574,1.012,11.437,0101000020E610000011E0F42EDEF953C045813E91276901C0,V
167936,495,976,"2021-07-03 09:22:10+00",-79.896169,-2.077599,19.72,1,19.72,0101000020E610000019AC38D55AF953C0529E7939EC9E00C0,V
160331,488,750,"2021-07-03 09:22:39+00",-79.895899,-2.186123,1.477,1.002,1.474,0101000020E61000003961C26856F953C06B44300E2E7D01C0,C
148909,468,493,"2021-07-03 08:40:13+00",-79.89844,-2.196668,12.723,0.996,12.774,0101000020E6100000C45A7C0A80F953C09A5B21ACC69201C0,V
165204,493,883,"2021-07-03 09:14:29+00",-79.863685,-2.140245,5.034,0.997,5.049,0101000020E6100000EE42739D46F753C0906B43C5381F01C0,V
155827,482,231,"2021-07-03 09:03:24+00",-79.936529,-2.094046,10.457,1.002,10.436,0101000020E61000005BB05417F0FB53C0938E72309BC000C0,V
157460,482,1047,"2021-07-03 09:17:44+00",-79.908974,-2.175556,15.643,1.006,15.55,0101000020E610000084BA48A12CFA53C0BFEE74E7896701C0,V
152467,476,263,"2021-07-03 09:13:14+00",-79.894812,-2.18563,0,0.363,0,0101000020E610000060048D9944F953C07940D9942B7C01C0,V
150843,472,483,"2021-07-03 09:06:30+00",-79.90256,-2.1677,9.295,0.634,14.661,0101000020E610000060AB048BC3F953C04850FC18735701C0,V
150803,471,564,"2021-07-03 09:06:57+00",-79.900184,-2.169482,13.094,0.659,19.87,0101000020E61000007A185A9D9CF953C0DB15FA60195B01C0,V
145290,464,353,"2021-07-03 07:59:58+00",-79.90574,-2.119878,11.634,0.993,11.716,0101000020E610000075ABE7A4F7F953C04014CC9882F500C0,V
155643,481,207,"2021-07-03 09:03:00+00",-79.937115,-2.090346,17.584,1.006,17.479,0101000020E6100000D46531B1F9FB53C06798DA5207B900C0,V
156162,482,399,"2021-07-03 09:06:12+00",-79.932921,-2.114919,14.752,0.998,14.781,0101000020E61000001A3048FAB4FB53C01F8315A75AEB00C0,V
149520,468,803,"2021-07-03 08:46:22+00",-79.902119,-2.177726,3.812,1,3.812,0101000020E61000006A865451BCF953C0F030ED9BFB6B01C0,V
144558,463,40,"2021-07-03 07:53:57+00",-79.917074,-2.095993,5.803,0.985,5.892,0101000020E6100000C3802557B1FA53C0D0285DFA97C400C0,V
157229,482,933,"2021-07-03 09:15:32+00",-79.915016,-2.17354,10.491,1.006,10.429,0101000020E610000045D4449F8FFA53C0FA6184F0686301C0,V
147023,465,200,"2021-07-03 08:39:45+00",-79.895789,-2.1832,1.38,0.991,1.393,0101000020E610000075C7629B54F953C08104C58F317701C0,O
158391,486,61,"2021-07-03 09:02:10+00",-79.916638,-2.18812,1.705,0.996,1.712,0101000020E610000056116E32AAFA53C0C5C9FD0E458101C0,C
157223,482,930,"2021-07-03 09:15:29+00",-79.915224,-2.173332,10.759,0.998,10.781,0101000020E6100000EA20AF0793FA53C05BCD3AE3FB6201C0,V
165556,494,996,"2021-07-03 09:24:17+00",-79.864605,-2.147944,13.527,1.004,13.473,0101000020E610000051BD35B055F753C08A1D8D43FD2E01C0,V
168939,526,17,"2021-07-25 22:39:40+00",-2.1471,-79.917,1,1,1,0101000020E6100000CCEEC9C3422D01C0A69BC420B0FA53C0,V
156902,482,769,"2021-07-03 09:12:48+00",-79.928911,-2.158505,11.502,1.006,11.434,0101000020E610000042791F4773FB53C01405FA449E4401C0,V
162489,491,750,"2021-07-03 09:25:30+00",-79.898798,-2.170854,14.855,1.002,14.825,0101000020E610000074ED0BE885F953C05320B3B3E85D01C0,C
152446,476,253,"2021-07-03 09:13:09+00",-79.895009,-2.185927,0,0.255,0,0101000020E61000000B28D4D347F953C0118C834BC77C01C0,V
149790,471,14,"2021-07-03 09:02:14+00",-79.903552,-2.159212,0,0.071,0,0101000020E6100000118FC4CBD3F953C0C80BE9F0104601C0,V
154407,479,643,"2021-07-03 09:17:12+00",-79.897504,-2.163314,6.892,1.014,6.797,0101000020E6100000DE019EB470F953C0E1D40792774E01C0,C
159911,486,644,"2021-07-03 09:20:27+00",-79.896881,-2.186937,1.232,1.002,1.23,0101000020E6100000D7D9907F66F953C07F4C6BD3D87E01C0,C
153587,480,134,"2021-07-03 09:07:40+00",-79.88688,-2.140559,14.413,1.02,14.131,0101000020E61000007FDE54A4C2F853C08944A165DD1F01C0,C
167932,495,972,"2021-07-03 09:22:06+00",-79.896288,-2.076931,18.593,0.998,18.631,0101000020E610000006F357C85CF953C07C6308008E9D00C0,V
150033,472,86,"2021-07-03 09:03:13+00",-79.903811,-2.159219,0,0.073,0,0101000020E6100000F7B0170AD8F953C0F0366F9C144601C0,V
165236,493,899,"2021-07-03 09:14:45+00",-79.863765,-2.141324,10.642,1,10.642,0101000020E61000007C9BFEEC47F753C0861E317A6E2101C0,V
157816,482,1226,"2021-07-03 09:21:06+00",-79.896076,-2.182562,1.375,1,1.375,0101000020E6100000C0AE264F59F953C056F0DB10E37501C0,V
160381,488,793,"2021-07-03 09:23:30+00",-79.89572,-2.185557,1.939,1,1.939,0101000020E6100000E197FA7953F953C0DA59F44E057C01C0,C
165549,493,1043,"2021-07-03 09:25:04+00",-79.866937,-2.152099,9.389,1.006,9.333,0101000020E61000004FAC53E57BF753C0D10836AE7F3701C0,V
167813,495,853,"2021-07-03 09:20:07+00",-79.912402,-2.068112,19.939,0.999,19.959,0101000020E610000085B35BCB64FA53C0A2B8E34D7E8B00C0,V
145405,464,411,"2021-07-03 08:02:15+00",-79.905314,-2.12586,16.65,0.952,17.489,0101000020E61000001AA721AAF0F953C019FF3EE3C20101C0,V
157980,483,16,"2021-07-03 09:02:07+00",-79.914834,-2.128766,2.897,1,2.897,0101000020E610000035D1E7A38CFA53C0A3B1F677B60701C0,C
160654,490,66,"2021-07-03 08:59:38+00",-79.902138,-2.235738,13.353,0.972,13.738,0101000020E6100000A59E05A1BCF953C04565C39ACAE201C0,V
165866,494,1152,"2021-07-03 09:26:53+00",-79.88043,-2.157482,15.822,0.998,15.853,0101000020E6100000B51A12F758F853C05CAB3DEC854201C0,V
158709,486,148,"2021-07-03 09:05:55+00",-79.916688,-2.188871,1.034,6.999,0.147,0101000020E6100000AE282504ABFA53C0724D81CCCE8201C0,C
151010,472,566,"2021-07-03 09:06:58+00",-79.900086,-2.169547,0,0.056,0,0101000020E610000099654F029BF953C04D1421753B5B01C0,V
155329,481,31,"2021-07-03 08:59:09+00",-79.937698,-2.072031,2.492,0.994,2.507,0101000020E610000093E1783E03FC53C0AA622AFD849300C0,V
159541,486,458,"2021-07-03 09:16:10+00",-79.898149,-2.190128,2.112,1.002,2.108,0101000020E6100000D97BF1457BF953C05D6E30D4618501C0,C
150166,472,152,"2021-07-03 09:04:11+00",-79.90442,-2.158966,0,0.072,0,0101000020E61000004B766C04E2F953C0516859F78F4501C0,V
144948,463,246,"2021-07-03 07:58:02+00",-79.908895,-2.107884,11.589,0.976,11.874,0101000020E6100000DE1FEF552BFA53C0E3175E49F2DC00C0,V
164803,493,684,"2021-07-03 09:10:59+00",-79.871982,-2.108999,19.058,0.998,19.096,0101000020E6100000D82C978DCEF753C0A65F22DE3ADF00C0,V
166566,494,1506,"2021-07-03 09:32:48+00",-79.904282,-2.166902,8.983,1.041,8.629,0101000020E610000022179CC1DFF953C08F183DB7D05501C0,V
157760,482,1198,"2021-07-03 09:20:31+00",-79.89597,-2.182637,1.75,1.998,0.875,0101000020E61000009E0C8E9257F953C0015130630A7601C0,V
149585,468,836,"2021-07-03 08:46:55+00",-79.904154,-2.175764,10.622,0.994,10.686,0101000020E61000000C23BDA8DDF953C05E83BEF4F66701C0,V
164026,493,297,"2021-07-03 09:03:25+00",-79.871339,-2.053809,20.549,1,20.549,0101000020E6100000AE2EA704C4F753C0FED7B969336E00C0,V
169462,532,58,"2021-07-31 17:37:54+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,M
159895,486,636,"2021-07-03 09:20:17+00",-79.896994,-2.18719,4.972,0.994,5.002,0101000020E610000054AD855968F953C01E1B81785D7F01C0,C
147259,465,318,"2021-07-03 08:41:44+00",-79.895517,-2.18457,1.369,1.018,1.345,0101000020E6100000C500892650F953C0EE940ED6FF7901C0,O
168592,495,1632,"2021-07-03 09:33:11+00",-79.891865,-2.170141,14.143,0.997,14.186,0101000020E61000009CDCEF5014F953C07EAB75E2725C01C0,V
156600,481,685,"2021-07-03 09:11:24+00",-79.933231,-2.147928,16.814,1,16.814,0101000020E61000004227840EBAFB53C02F4D11E0F42E01C0,V
161162,491,74,"2021-07-03 09:11:36+00",-79.88649,-2.140441,13.433,0.998,13.46,0101000020E6100000C98E8D40BCF853C0EA23F0879F1F01C0,C
168769,495,1809,"2021-07-03 09:36:36+00",-79.896837,-2.180513,6.837,0.994,6.878,0101000020E6100000F03504C765F953C0D505BCCCB07101C0,V
148496,468,290,"2021-07-03 08:36:11+00",-79.910284,-2.200751,9.21,1.002,9.192,0101000020E61000009D84D21742FA53C0471D1D57239B01C0,V
158526,485,163,"2021-07-03 09:16:20+00",-79.880436,-2.160072,31.236,12.04,2.594,0101000020E6100000268E3C1059F853C0E10A28D4D34701C0,V
168943,526,21,"2021-07-25 22:39:40+00",-2.1471,-79.917,1,1,1,0101000020E6100000CCEEC9C3422D01C0A69BC420B0FA53C0,V
155050,480,852,"2021-07-03 09:21:40+00",-79.89785,-2.176892,11.157,1.004,11.113,0101000020E6100000ACADD85F76F953C06B64575A466A01C0,C
169995,533,169,"2021-07-31 17:50:23+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,V
164624,493,595,"2021-07-03 09:09:30+00",-79.873895,-2.095722,12.451,0.999,12.463,0101000020E6100000D4484BE5EDF753C0CB0F5CE509C400C0,V
158124,484,62,"2021-07-03 09:29:40+00",-79.897078,-2.180835,4.014,1.012,3.967,0101000020E610000082FDD7B969F953C0FCC6D79E597201C0,C
146937,466,87,"2021-07-03 08:37:49+00",-79.89643,-2.181834,1.339,0.991,1.351,0101000020E6100000CF49EF1B5FF953C02B685A62657401C0,O
150224,472,181,"2021-07-03 09:04:20+00",-79.904577,-2.159282,0,0.369,0,0101000020E6100000AFEDED96E4F953C056BB26A4354601C0,V
151267,471,800,"2021-07-03 09:08:16+00",-79.8977,-2.177373,0,0.075,0,0101000020E6100000A167B3EA73F953C0198C1189426B01C0,V
153814,479,325,"2021-07-03 09:11:15+00",-79.889537,-2.149879,12.248,1.004,12.2,0101000020E61000003FE5982CEEF853C083DBDAC2F33201C0,C
152543,477,238,"2021-07-03 09:13:01+00",-79.895257,-2.186447,8.224,0.706,11.649,0101000020E6100000F72004E44BF953C09D7FBBECD77D01C0,V
166200,493,1366,"2021-07-03 09:30:27+00",-79.891397,-2.171055,10.187,0.999,10.197,0101000020E610000029B000A60CF953C0CA897615525E01C0,V
154721,480,675,"2021-07-03 09:17:44+00",-79.895989,-2.165297,11.194,0.996,11.239,0101000020E6100000D9243FE257F953C0EA03C93B875201C0,C
162621,492,717,"2021-07-03 09:24:35+00",-79.898371,-2.17011,1.716,1.002,1.712,0101000020E6100000302B14E97EF953C0CEC7B5A1625C01C0,C
164063,494,234,"2021-07-03 09:02:22+00",-79.870075,-2.043804,15.309,0.999,15.324,0101000020E61000004D840D4FAFF753C0CD785BE9B55900C0,V
158296,487,15,"2021-07-02 23:55:58+00",-79.845637,-2.16609,14.825,3.013,4.92,0101000020E610000067D2A6EA1EF653C0878A71FE265401C0,V
148116,468,101,"2021-07-03 08:32:29+00",-79.918764,-2.201611,1.107,1.004,1.102,0101000020E61000007F2F8507CDFA53C0611C5C3AE69C01C0,V
149151,467,717,"2021-07-03 08:44:46+00",-79.895941,-2.182377,16.217,0.98,16.548,0101000020E61000005089EB1857F953C03A579412827501C0,V
150705,472,414,"2021-07-03 09:05:38+00",-79.902597,-2.167032,1.073,0.656,1.636,0101000020E6100000EF1D3526C4F953C072158BDF145601C0,V
152279,477,104,"2021-07-03 09:11:38+00",-79.896242,-2.189775,9.807,0.711,13.793,0101000020E61000004ED367075CF953C086C954C1A88401C0,V
152797,476,424,"2021-07-03 09:14:54+00",-79.896239,-2.181512,11.601,0.996,11.648,0101000020E61000009599D2FA5BF953C005A73E90BC7301C0,V
169797,532,393,"2021-07-31 17:38:02+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,V
169897,533,71,"2021-07-31 17:50:20+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,V
165885,493,1210,"2021-07-03 09:27:51+00",-79.880207,-2.164015,14.115,0.997,14.157,0101000020E610000075ADBD4F55F853C0726DA818E74F01C0,V
147463,466,349,"2021-07-03 08:42:23+00",-79.895729,-2.184861,1.195,1.008,1.186,0101000020E61000000B45BA9F53F953C065726A67987A01C0,O
170137,533,311,"2021-07-31 17:50:26+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,V
168767,495,1807,"2021-07-03 09:36:34+00",-79.896919,-2.180407,7.635,1.002,7.62,0101000020E61000004E0AF31E67F953C07BC1A739797101C0,V
145462,463,505,"2021-07-03 08:03:50+00",-79.906335,-2.138217,14.755,0.394,37.45,0101000020E6100000170E846401FA53C08602B683111B01C0,V
146697,465,3,"2021-07-03 08:36:17+00",-79.896784,-2.180892,4.119,0.955,4.314,0101000020E6100000DEE4B7E864F953C040DD4081777201C0,O
162080,492,448,"2021-07-03 09:19:04+00",-79.893838,-2.156944,3.653,0.998,3.66,0101000020E6100000037B4CA434F953C06A6D1ADB6B4101C0,C
144336,459,175,"2021-07-03 00:02:20+00",-79.803538,-2.168861,1.278,0.97,1.318,0101000020E6100000F8C5A52A6DF353C0118FC4CBD35901C0,O
150980,472,551,"2021-07-03 09:06:53+00",-79.900606,-2.169202,0,0.068,0,0101000020E610000035255987A3F953C0A3570394865A01C0,V
155129,480,891,"2021-07-03 09:22:28+00",-79.897104,-2.179424,4.321,0.992,4.356,0101000020E61000001747E5266AF953C0A6F0A0D9756F01C0,C
152493,476,276,"2021-07-03 09:13:20+00",-79.89481,-2.185274,3.405,0.924,3.686,0101000020E61000009088299144F953C0916456EF707B01C0,V
156389,481,579,"2021-07-03 09:09:38+00",-79.933788,-2.134444,13.807,0.985,14.018,0101000020E61000006D59BE2EC3FB53C0BB253960571301C0,V
161069,490,299,"2021-07-03 09:26:04+00",-79.89603,-2.182987,2.02,8.047,0.251,0101000020E6100000088F368E58F953C0C6BE64E3C17601C0,V
145820,463,681,"2021-07-03 08:06:49+00",-79.897839,-2.157325,13.429,0.487,27.575,0101000020E6100000B284B53176F953C0E0BE0E9C334201C0,V
154459,480,546,"2021-07-03 09:15:28+00",-79.897544,-2.157057,4.601,1.008,4.564,0101000020E610000025AE635C71F953C0ECDCB419A74101C0,C
159617,486,496,"2021-07-03 09:17:03+00",-79.897744,-2.189702,3.277,2.998,1.093,0101000020E6100000890B40A374F953C0E7E26F7B828401C0,C
144843,464,128,"2021-07-03 07:56:04+00",-79.912487,-2.096282,9.818,1.002,9.798,0101000020E61000009CC1DF2F66FA53C03B8C497F2FC500C0,V
160323,488,746,"2021-07-03 09:22:35+00",-79.895913,-2.18618,1.761,1,1.761,0101000020E6100000EBC37AA356F953C0AF5A99F04B7D01C0,C
163031,491,1035,"2021-07-03 09:31:09+00",-79.896624,-2.181757,1.779,0.998,1.782,0101000020E6100000C233A14962F953C0768D96033D7401C0,C
154673,479,778,"2021-07-03 09:20:26+00",-79.898259,-2.170202,6.835,1.002,6.821,0101000020E61000009C1551137DF953C0D9B5BDDD925C01C0,C
148804,468,441,"2021-07-03 08:39:21+00",-79.900929,-2.19768,8.791,0.999,8.799,0101000020E610000027C11BD2A8F953C014967840D99401C0,V
168647,495,1687,"2021-07-03 09:34:06+00",-79.892036,-2.177108,14.177,1.002,14.148,0101000020E6100000B3B6291E17F953C037E15E99B76A01C0,V
146653,464,1047,"2021-07-03 08:14:47+00",-79.896681,-2.181224,1.119,1.002,1.116,0101000020E6100000747CB43863F953C09F008A91257301C0,V
169193,531,4,"2021-07-27 18:35:42+00",-2.1471,-79.917,1,1,1,0101000020E6100000CCEEC9C3422D01C0A69BC420B0FA53C0,V
149241,468,656,"2021-07-03 08:43:45+00",-79.894926,-2.185593,3.88,1.004,3.865,0101000020E6100000C495B37746F953C0A6EECA2E187C01C0,V
170036,533,210,"2021-07-31 17:50:24+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,V
168489,495,1529,"2021-07-03 09:31:28+00",-79.888368,-2.158168,12.784,0.99,12.913,0101000020E610000007B47405DBF853C098309A95ED4301C0,V
167645,495,685,"2021-07-03 09:17:19+00",-79.934748,-2.080053,20.39,1.004,20.308,0101000020E6100000178046E9D2FB53C0D192C7D3F2A300C0,V
156322,481,546,"2021-07-03 09:09:05+00",-79.932948,-2.129666,15.256,0.992,15.379,0101000020E61000009737876BB5FB53C09F39EB538E0901C0,V
169337,531,148,"2021-07-27 18:35:42+00",-2.1471,-79.917,1,1,1,0101000020E6100000CCEEC9C3422D01C0A69BC420B0FA53C0,V
154912,480,767,"2021-07-03 09:20:09+00",-79.898029,-2.169887,4.372,0.98,4.461,0101000020E61000000377A04E79F953C0DA1F28B7ED5B01C0,C
161841,491,421,"2021-07-03 09:18:35+00",-79.894396,-2.155767,31.929,1.006,31.738,0101000020E6100000166BB8C83DF953C0465ED6C4023F01C0,C
158128,484,66,"2021-07-03 09:29:45+00",-79.896942,-2.18082,2.914,0.998,2.92,0101000020E61000002A1A6B7F67F953C0A7B393C1517201C0,C
154052,480,347,"2021-07-03 09:11:40+00",-79.889555,-2.15094,6.914,1.004,6.887,0101000020E6100000923F1878EEF853C01344DD07203501C0,C
159819,486,598,"2021-07-03 09:19:20+00",-79.897109,-2.187836,1.468,1.002,1.465,0101000020E6100000A0FCDD3B6AF953C076172829B08001C0,C
170277,533,451,"2021-07-31 17:50:29+00",-79.8804441,-2.1891804,1,1,1,0101000020E610000032DD353259F853C0855A7803718301C0,M
155668,482,151,"2021-07-03 09:02:04+00",-79.93918,-2.081901,20.866,1.006,20.741,0101000020E6100000AA436E861BFC53C0DB1324B6BBA700C0,V
165144,493,853,"2021-07-03 09:13:48+00",-79.863487,-2.1369,20.045,1.018,19.691,0101000020E61000005B61FA5E43F753C04694F6065F1801C0,V
161030,490,260,"2021-07-03 09:11:51+00",-79.899421,-2.207391,8.369,0.985,8.497,0101000020E61000007B15191D90F953C0BDE0D39CBCA801C0,V
155995,482,315,"2021-07-03 09:04:48+00",-79.935154,-2.103684,14.245,0.991,14.374,0101000020E61000004FAE2990D9FB53C09DF2E84658D400C0,V
147006,465,191,"2021-07-03 08:39:36+00",-79.89584,-2.18309,1.842,1.006,1.831,0101000020E6100000B79C4B7155F953C010CCD1E3F77601C0,O
