id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
38724,146,85,"2021-06-24 12:31:25+00",-79.867527,-2.118414,47.163,2.053,22.973,0101000020E61000006859F78F85F753C0BD1B0B0A83F200C0,V
49941,155,493,"2021-06-24 12:38:13+00",-79.856124,-2.074589,19.702,2.027,9.719,0101000020E6100000865451BCCAF653C079211D1EC29800C0,V
137298,452,48,"2021-06-28 07:42:00+00",-79.873862,-2.074814,17.614,0.82,21.481,0101000020E6100000E6CDE15AEDF753C078431A15389900C0,O
59375,163,319,"2021-06-24 12:35:19+00",-79.832295,-2.068402,11.667,2.003,5.825,0101000020E6100000F5673F5244F553C012D90759168C00C0,V
17456,329,340,"2021-06-24 12:37:15+00",-79.8737,-2.102075,30.895,2.032,15.204,0101000020E6100000F9A067B3EAF753C0E2E995B20CD100C0,V
131532,223,416,"2021-06-24 12:36:56+00",-79.841626,-2.071979,18.81,2.001,9.4,0101000020E6100000A75D4C33DDF553C082FDD7B9699300C0,V
128402,220,889,"2021-06-24 12:44:49+00",-79.884465,-2.12971,31.603,1.982,15.945,0101000020E61000003A5D16139BF853C09AB67F65A50901C0,V
50667,448,376,"2021-06-24 12:30:18+00",-79.895267,-2.161577,20.914,1,20.914,0101000020E6100000098CF50D4CF953C04D49D6E1E84A01C0,E
163474,492,1173,"2021-07-03 09:34:19+00",-79.895827,-2.183245,1.689,2.003,0.843,0101000020E6100000ECF7C43A55F953C0813E9127497701C0,C
148026,468,57,"2021-07-03 08:31:38+00",-79.919174,-2.201868,1.026,1.006,1.02,0101000020E610000058552FBFD3FA53C016DF50F86C9D01C0,V
