id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
51818,156,1169,"2021-06-24 12:49:29+00",-79.895789,-2.16385,0.523,2,0.261,0101000020E610000075C7629B54F953C0C898BB96904F01C0,V
44036,150,593,"2021-06-24 12:39:53+00",-79.873727,-2.081689,20.578,2.001,10.284,0101000020E610000076A8A624EBF753C0268BFB8F4CA700C0,V
3471,38,30,"2021-06-24 12:30:30+00",-79.88661,-2.155057,30.889,2.003,15.421,0101000020E61000009F93DE37BEF853C0812040868E3D01C0,V
14476,319,63,"2021-06-24 12:47:38+00",-79.834142,-2.070447,31.3,1.997,15.673,0101000020E6100000158E209562F553C07DCF4884469000C0,V
15163,318,474,"2021-06-24 12:39:04+00",-79.87413,-2.125647,41.096,2.005,20.496,0101000020E6100000F59CF4BEF1F753C05EB9DE36530101C0,V
9162,68,170,"2021-06-24 12:32:50+00",-79.852564,-2.075762,40.744,1.999,20.382,0101000020E6100000CE6F986890F653C0863C821B299B00C0,C
40951,147,1111,"2021-06-24 12:48:31+00",-79.894007,-2.167864,17.102,2.003,8.538,0101000020E610000049D9226937F953C0EC67B114C95701C0,V
166723,493,1624,"2021-07-03 09:34:46+00",-79.905644,-2.174782,3.539,1.014,3.49,0101000020E610000064744012F6F953C08F6FEF1AF46501C0,V
96821,194,534,"2021-06-24 12:38:54+00",-79.869667,-2.073567,29.361,2.004,14.651,0101000020E610000045DAC69FA8F753C0C784984BAA9600C0,V
42271,149,29,"2021-06-24 12:30:29+00",-79.873387,-2.103139,38.016,1.999,19.017,0101000020E610000019709692E5F753C083893F8A3AD300C0,V
71478,173,412,"2021-06-24 12:36:52+00",-79.841249,-2.072255,12.083,2.003,6.032,0101000020E6100000BCB20B06D7F553C0A4C7EF6DFA9300C0,V
174492,576,374,"2021-08-10 15:55:00+00",-79.9002197,-2.1788211,1,1,1,0101000020E6100000C1AD16339DF953C08FADC2C1396E01C0,V
41301,431,141,"2021-06-24 12:34:20+00",-79.880339,-2.053262,16.322,1.018,16.033,0101000020E61000002D99637957F853C0D8F4A0A0146D00C0,V
47270,441,861,"2021-06-24 12:33:44+00",-79.885775,-2.146411,8.701,0.979,8.887,0101000020E61000005227A089B0F853C07F32C687D92B01C0,E
5721,59,345,"2021-06-24 12:35:45+00",-79.873864,-2.093209,25.456,2.005,12.696,0101000020E6100000B6494563EDF753C0FC8A355CE4BE00C0,O
157394,481,1083,"2021-07-03 09:18:20+00",-79.904878,-2.176769,11.322,0.985,11.495,0101000020E6100000AC376A85E9F953C0B0928FDD056A01C0,V
29349,376,2,"2021-06-24 12:35:18+00",-79.929302,-2.198236,2.706,1.979,1.367,0101000020E6100000E08618AF79FB53C06D1E87C1FC9501C0,C
107558,203,462,"2021-06-24 12:37:42+00",-79.849329,-2.074214,31.964,1.999,15.99,0101000020E6100000D7A205685BF653C0253E7782FD9700C0,V
148933,468,505,"2021-07-03 08:40:25+00",-79.898062,-2.195453,5.826,0.996,5.85,0101000020E6100000F1F109D979F953C09F3D97A9499001C0,V
69675,171,1011,"2021-06-24 12:46:51+00",-79.886567,-2.150027,16.006,1.999,8.007,0101000020E61000009FAD8383BDF853C0CD22145B413301C0,V
