id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
49460,446,631,"2021-06-24 12:30:12+00",-79.88403,-2.128067,14.35,0.99,14.495,0101000020E6100000B4AB90F293F853C01D93C5FD470601C0,C
25914,135,486,"2021-06-24 12:38:06+00",-79.854404,-2.075475,39.944,2.015,19.823,0101000020E610000095641D8EAEF653C0265305A3929A00C0,V
159345,488,263,"2021-07-03 09:10:36+00",-79.907296,-2.188154,11.135,0.997,11.168,0101000020E6100000AAF23D2311FA53C086E464E2568101C0,C
150224,472,181,"2021-07-03 09:04:20+00",-79.904577,-2.159282,0,0.369,0,0101000020E6100000AFEDED96E4F953C056BB26A4354601C0,V
118778,212,873,"2021-06-24 12:44:33+00",-79.886045,-2.12954,2.928,1.99,1.471,0101000020E6100000327216F6B4F853C0D3307C444C0901C0,V
14999,126,380,"2021-06-24 12:36:20+00",-79.836199,-2.073089,4.556,1.996,2.282,0101000020E6100000AA7CCF4884F553C0299485AFAF9500C0,V
26564,135,1136,"2021-06-24 12:48:56+00",-79.895052,-2.166435,14.919,2.012,7.415,0101000020E61000000B0E2F8848F953C030478FDFDB5401C0,V
99165,196,476,"2021-06-24 12:37:56+00",-79.851307,-2.075185,32.633,1.999,16.325,0101000020E6100000C7F65AD07BF653C0B532E197FA9900C0,V
198990,646,273,"2021-09-03 11:05:21+00",-79.9002992,-2.1785922,1,1,1,0101000020E61000005C2789809EF953C0C79052BFC16D01C0,V
26538,372,103,"2021-06-24 12:48:30+00",-79.895862,-2.180125,6.227,0.148,42.079,0101000020E6100000AAEE91CD55F953C037894160E57001C0,C
14668,319,163,"2021-06-24 12:30:49+00",-79.849145,-2.074135,36.02,1.972,18.265,0101000020E6100000F623456458F653C064E94317D49700C0,V
105346,201,652,"2021-06-24 12:40:52+00",-79.87399,-2.095945,26.949,1.995,13.508,0101000020E6100000FDC1C073EFF753C0BFB7E9CF7EC400C0,V
41932,435,169,"2021-06-24 12:44:51+00",-79.872347,-2.107592,16.765,0.999,16.782,0101000020E6100000E1F08288D4F753C0677DCA3159DC00C0,V
47762,153,716,"2021-06-24 12:41:56+00",-79.87021,-2.113815,32.291,1.984,16.275,0101000020E6100000BDA94885B1F753C09B5AB6D617E900C0,V
97557,195,69,"2021-06-24 12:31:09+00",-79.870859,-2.1125,42.599,1.989,21.417,0101000020E6100000581B6327BCF753C06666666666E600C0,V
27054,374,250,"2021-06-24 12:37:05+00",-79.919749,-2.23974,28.691,2.009,14.281,0101000020E6100000D6E1E82ADDFA53C025581CCEFCEA01C0,V
119329,213,223,"2021-06-24 12:33:43+00",-79.892242,-2.131734,12.974,2.011,6.451,0101000020E61000008787307E1AF953C08C2B2E8ECA0D01C0,V
162088,492,452,"2021-07-03 09:19:08+00",-79.893832,-2.157066,13.716,0.995,13.785,0101000020E61000009207228B34F953C01F82AAD1AB4101C0,C
