id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
150543,471,433,"2021-07-03 09:06:13+00",-79.902663,-2.167019,0,0.077,0,0101000020E6100000CB13083BC5F953C0287CB60E0E5601C0,V
47851,442,1116,"2021-06-24 12:43:25+00",-79.893672,-2.167794,12.545,0.999,12.558,0101000020E610000075560BEC31F953C05FB87361A45701C0,E
134494,225,976,"2021-06-24 12:46:16+00",-79.885044,-2.145044,16.938,1.997,8.482,0101000020E610000058E1968FA4F853C023D923D40C2901C0,V
139202,452,987,"2021-06-28 07:50:26+00",-79.880979,-2.12652,0,0.197,0,0101000020E61000009E5DBEF561F853C0C251F2EA1C0301C0,O
17544,328,446,"2021-06-24 12:38:43+00",-79.879735,-2.126434,43.875,2.011,21.817,0101000020E6100000618907944DF853C0D9D138D4EF0201C0,V
85892,185,414,"2021-06-24 12:36:54+00",-79.841367,-2.072127,17.646,1.999,8.827,0101000020E6100000C13BF9F4D8F553C0CC441152B79300C0,V
39803,146,1164,"2021-06-24 12:49:24+00",-79.895782,-2.16387,0.523,1.992,0.263,0101000020E61000001C96067E54F953C03A5D16139B4F01C0,V
16312,326,52,"2021-06-24 12:38:12+00",-79.867561,-2.020766,22,1.997,11.016,0101000020E61000003E92921E86F753C02CF3565D872A00C0,V
103250,199,958,"2021-06-24 12:45:58+00",-79.883895,-2.142834,26.857,2.013,13.341,0101000020E6100000448655BC91F853C00F0EF626862401C0,V
158716,488,62,"2021-07-03 09:02:11+00",-79.916642,-2.188135,2.2,0.999,2.203,0101000020E6100000F6083543AAFA53C01ADD41EC4C8101C0,C
