id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
32147,140,714,"2021-06-24 12:41:54+00",-79.870507,-2.113276,33.658,2.008,16.762,0101000020E61000001AFCFD62B6F753C0A25F5B3FFDE700C0,V
143532,454,609,"2021-06-29 07:49:08+00",-79.873757,-2.080641,10.75,0.997,10.782,0101000020E6100000ABE97AA2EBF753C0E0BBCD1B27A500C0,T
122186,215,678,"2021-06-24 12:41:18+00",-79.873419,-2.103165,23.327,2,11.663,0101000020E61000001F2DCE18E6F753C017BCE82B48D300C0,V
128478,220,965,"2021-06-24 12:46:05+00",-79.884354,-2.143694,0.668,1.964,0.34,0101000020E61000008E05854199F853C0280D350A492601C0,V
63126,166,467,"2021-06-24 12:37:47+00",-79.850315,-2.074422,3.014,2.008,1.501,0101000020E610000016139B8F6BF653C0C4D2C08F6A9800C0,V
39101,393,1597,"2021-06-24 12:37:42+00",-79.888021,-2.13119,27.447,2.025,13.554,0101000020E6100000514A0856D5F853C0787FBC57AD0C01C0,M
81323,181,649,"2021-06-24 12:40:49+00",-79.873955,-2.095132,30.05,1.993,15.078,0101000020E61000003ECBF3E0EEF753C0B16CE690D4C200C0,V
188649,617,11,"2021-08-19 09:31:32+00",-79.9000392,-2.1788191,1,1,1,0101000020E61000008D47043E9AF953C0843353B5386E01C0,V
126916,219,604,"2021-06-24 12:40:04+00",-79.873652,-2.083442,0.764,1.981,0.385,0101000020E6100000710514EAE9F753C014E7A8A3E3AA00C0,V
156824,482,730,"2021-07-03 09:12:09+00",-79.930874,-2.153949,16.578,1.002,16.545,0101000020E610000097AC8A7093FB53C0E603029D493B01C0,V
149583,468,835,"2021-07-03 08:46:54+00",-79.904178,-2.175855,11.544,1,11.544,0101000020E6100000D0F0660DDEF953C063B48EAA266801C0,V
147796,466,538,"2021-07-03 08:46:08+00",-79.896758,-2.186277,1.061,0.999,1.062,0101000020E61000004A9BAA7B64F953C0D7F9B7CB7E7D01C0,O
50359,447,250,"2021-06-24 12:45:11+00",-79.897799,-2.150084,16.606,0.999,16.622,0101000020E61000006BD8EF8975F953C011397D3D5F3301C0,E
153835,480,254,"2021-07-03 09:09:49+00",-79.888369,-2.145279,15.893,0.997,15.941,0101000020E6100000EF71A609DBF853C05B5D4E09882901C0,C
48802,154,555,"2021-06-24 12:39:15+00",-79.87267,-2.07315,19.671,2.013,9.772,0101000020E6100000D28C45D3D9F753C0849ECDAACF9500C0,V
74737,176,68,"2021-06-24 12:31:08+00",-79.871005,-2.112169,40.32,2.001,20.15,0101000020E6100000C269C18BBEF753C00D0055DCB8E500C0,V
28123,374,779,"2021-06-24 12:34:53+00",-79.947689,-2.111399,23.918,2.001,11.953,0101000020E6100000DA71C3EFA6FC53C0F374AE2825E400C0,V
13478,261,86,"2021-06-24 12:31:00+00",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
195637,636,123,"2021-08-21 09:51:07+00",-79.9002536,-2.178713,1,1,1,0101000020E6100000CD8646C19DF953C0DCF5D214016E01C0,C
157930,482,1299,"2021-07-03 09:23:37+00",-79.895863,-2.183001,1.496,3,0.498,0101000020E610000093ACC3D155F953C01615713AC97601C0,V
78248,178,1177,"2021-06-24 12:49:37+00",-79.895604,-2.163775,9.973,1.962,5.083,0101000020E6100000AD8A709351F953C01D386744694F01C0,V
38691,146,52,"2021-06-24 12:30:52+00",-79.872422,-2.107339,22.251,2.001,11.119,0101000020E6100000E69315C3D5F753C0C9AEB48CD4DB00C0,V
185823,600,145,"2021-08-18 09:31:06+00",-79.9001221,-2.1788177,1,1,1,0101000020E61000000A7AB9999BF953C049916BF9376E01C0,C
47445,442,909,"2021-06-24 12:36:39+00",-79.886519,-2.149819,9.273,0.943,9.834,0101000020E6100000171230BABCF853C02E8ECA4DD43201C0,E
9895,69,24,"2021-06-24 12:30:24+00",-79.832946,-2.068314,15.964,1.998,7.99,0101000020E61000006155BDFC4EF553C01EDFDE35E88B00C0,V
28933,374,1191,"2021-06-24 12:48:23+00",-79.904875,-2.154104,22.981,1.996,11.513,0101000020E6100000F4FDD478E9F953C05776C1E09A3B01C0,V
35864,143,828,"2021-06-24 12:43:30+00",-79.884049,-2.128064,11.456,2.013,5.691,0101000020E6100000F0C3414294F853C00C5C1E6B460601C0,V
5958,59,582,"2021-06-24 12:39:42+00",-79.883835,-2.131842,5.061,2.005,2.524,0101000020E6100000DA03ADC090F853C0F2E9B12D030E01C0,O
28659,137,829,"2021-06-24 12:43:49+00",-79.884127,-2.128129,9.084,1.985,4.576,0101000020E6100000AEA0698995F853C07D5A457F680601C0,V
41951,148,910,"2021-06-24 12:45:10+00",-79.883252,-2.133125,29.678,1.998,14.854,0101000020E61000001A88653387F853C0713D0AD7A31001C0,V
148243,468,166,"2021-07-03 08:33:59+00",-79.917266,-2.201473,13.939,1.014,13.747,0101000020E6100000E5EE737CB4FA53C0503750E09D9C01C0,V
40344,147,504,"2021-06-24 12:38:24+00",-79.858579,-2.075814,38.18,1.997,19.119,0101000020E6100000138255F5F2F653C0ADA1D45E449B00C0,V
