id,latitud,longitud
1,-2.068837,-79.83244
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.212683,-79.925597
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.131876,-79.968385
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.073329,-79.871122
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.163675,-79.89564
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.186055,-79.894237
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.243002,-79.88826
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
1,-2.8498484,-79.94875
